topic 0
koelewijn : 0.013481
appel : 0.010555
je : 0.010497
russische : 0.010343
journalist : 0.009157
jeltsin : 0.007837
para's : 0.007630
eliasson : 0.007630
museum : 0.007630
sport : 0.007297
luchthaven : 0.006167
ik : 0.006010
werken : 0.005866
hoop : 0.005552
lezer : 0.005552
manier : 0.005481
krijg : 0.004796
doping : 0.004737
chef-sport : 0.004737
navo : 0.004736
kunstenaars : 0.004704
bezoeker : 0.004704
overheid : 0.004633
krant : 0.004633
dag : 0.004563

topic 1
dvg : 0.021287
geukens : 0.013262
mat : 0.010029
theater : 0.009311
mong : 0.009311
beroepsgeheim : 0.008412
michiels : 0.008412
moe : 0.007814
noch : 0.007256
gezelle : 0.006796
mij : 0.006642
bonino : 0.006317
prodi : 0.005983
politie : 0.005870
afspraak : 0.005870
probleem : 0.005607
ouders : 0.005214
huisbezoek : 0.005179
ik : 0.005071
elshout : 0.004820
dichter : 0.004704
pozie : 0.004485
proza : 0.004485
parket : 0.004485
italiaanse : 0.004178

topic 2
dubbelspel : 0.026082
tennis : 0.015183
sabine : 0.014209
muziek : 0.013091
je : 0.011444
onze : 0.010970
top-honderd : 0.009315
justine : 0.008272
ploeg : 0.007463
vrouwen : 0.007463
hoop : 0.007463
xavier : 0.006381
meisjes : 0.006381
spelers : 0.006243
ik : 0.005709
filip : 0.005686
toekomst : 0.005332
krijg : 0.005146
haar : 0.005068
belang : 0.004706
wind : 0.004706
geven : 0.004604
allemaal : 0.004333
anderen : 0.004333
team : 0.004333

topic 3
prodi : 0.025132
barak : 0.021186
vrede : 0.012532
sachs : 0.011723
isral : 0.011723
palestijnen : 0.011723
parlement : 0.009512
commissie : 0.009500
dokter : 0.007970
portefeuille : 0.007818
unie : 0.007425
top-honderd : 0.005579
busquin : 0.005475
commissaris : 0.005409
duitse : 0.005355
europees : 0.005261
europese : 0.004689
nieuwe : 0.004582
kondigde : 0.004198
schrder : 0.004198
betekenis : 0.004091
landen : 0.003877
minister : 0.003854
leider : 0.003790
spaanse : 0.003744

topic 4
top-honderd : 0.001001
moeilijk : 0.001001
vorig : 0.001001
zit : 0.001001
la : 0.001001
dichter : 0.001001
vaak : 0.001001
halen : 0.001001
gang : 0.001001
leven : 0.001001
gemeenschap : 0.001001
mentaliteit : 0.001001
zien : 0.001001
ziet : 0.001001
zullen : 0.001001
vrouwen : 0.001001
tentoonstelling : 0.001001
aanvaarden : 0.001001
raad : 0.001001
bijna : 0.001001
ondanks : 0.001001
stellen : 0.001001
beter : 0.001001
xavier : 0.001001
naast : 0.001001

topic 5
top-honderd : 0.001001
moeilijk : 0.001001
vorig : 0.001001
zit : 0.001001
la : 0.001001
dichter : 0.001001
vaak : 0.001001
halen : 0.001001
gang : 0.001001
leven : 0.001001
gemeenschap : 0.001001
mentaliteit : 0.001001
zien : 0.001001
ziet : 0.001001
zullen : 0.001001
vrouwen : 0.001001
tentoonstelling : 0.001001
aanvaarden : 0.001001
raad : 0.001001
bijna : 0.001001
ondanks : 0.001001
stellen : 0.001001
beter : 0.001001
xavier : 0.001001
naast : 0.001001

topic 6
koning : 0.032011
mummie : 0.022285
mummy : 0.019466
the : 0.012684
boudewijn : 0.011865
film : 0.009147
monarchie : 0.007622
elkaar : 0.006827
hof : 0.006175
systeem : 0.006175
regering : 0.005880
premier : 0.005197
juiste : 0.005137
wet : 0.004957
nam : 0.004830
koningshuis : 0.004728
oude : 0.004497
u : 0.004423
martens : 0.004214
acker : 0.003815
parlementaire : 0.003815
dehaene : 0.003792
mocht : 0.003738
duizenden : 0.003696
kwestie : 0.003696

topic 7
geukens : 0.040105
euro : 0.015952
k : 0.015952
ouders : 0.015506
michiels : 0.010459
dossier : 0.009908
jongens : 0.009652
rijkswacht : 0.009045
karine : 0.007989
space : 0.006928
leuven : 0.006175
amerikaanse : 0.005913
haar : 0.005835
huisbezoek : 0.005518
markt : 0.005518
mat : 0.005518
frank : 0.005118
procent : 0.005115
noch : 0.004811
handel : 0.004811
overheid : 0.004712
gebeurde : 0.004309
eten : 0.004309
financile : 0.003920
miljard : 0.003920

topic 8
top-honderd : 0.001001
moeilijk : 0.001001
vorig : 0.001001
zit : 0.001001
la : 0.001001
dichter : 0.001001
vaak : 0.001001
halen : 0.001001
gang : 0.001001
leven : 0.001001
gemeenschap : 0.001001
mentaliteit : 0.001001
zien : 0.001001
ziet : 0.001001
zullen : 0.001001
vrouwen : 0.001001
tentoonstelling : 0.001001
aanvaarden : 0.001001
raad : 0.001001
bijna : 0.001001
ondanks : 0.001001
stellen : 0.001001
beter : 0.001001
xavier : 0.001001
naast : 0.001001

topic 9
xavier : 0.010563
filip : 0.009793
mentaliteit : 0.009052
prestaties : 0.007504
spelers : 0.007020
vrouwen : 0.006418
talent : 0.006084
meisjes : 0.006083
christophe : 0.005859
kunt : 0.005735
vaak : 0.005637
top-honderd : 0.005419
kilometer : 0.004937
sabine : 0.004668
je : 0.004529
mannen : 0.004510
hier : 0.004494
ik : 0.004317
sneller : 0.004301
cup : 0.004278
graag : 0.003768
ivo : 0.003765
top : 0.003668
jongens : 0.003492
zit : 0.003434

