topic 0
koning : 0.176555
je : 0.121317
ik : 0.117739
juli : 0.098115
tobback : 0.097736
sp : 0.096416
batselier : 0.096291
sport : 0.089442
anciaux : 0.087448
mij : 0.084666
dehaene : 0.083951
regering : 0.082313
acker : 0.079018
prodi : 0.077774
verhofstadt : 0.076534
u : 0.076297
armstrong : 0.075815
monarchie : 0.075322
belgische : 0.074981
geukens : 0.074788
russische : 0.074714
maan : 0.074553
cvp : 0.069455
senelle : 0.069279
jacobs : 0.065709

topic 1
koning : 0.511595
monarchie : 0.244215
acker : 0.189200
boudewijn : 0.175390
roey : 0.159085
senelle : 0.146087
armstrong : -0.132111
maan : -0.129836
ministers : 0.111013
leopold : 0.109969
je : -0.109799
hof : 0.109107
sport : -0.102859
regering : 0.102213
russische : -0.099752
koningshuis : 0.097492
ii : 0.094270
batselier : 0.082241
aldrin : -0.082025
robert : 0.081919
tobback : 0.077048
sp : 0.076993
vorst : 0.076918
jacobs : -0.076283
staatshervorming : 0.075303

topic 2
tobback : -0.360229
koning : 0.293860
sp : -0.271978
batselier : -0.230889
verhofstadt : -0.178277
socialisten : -0.175646
miert : -0.167713
paarse : -0.152595
monarchie : 0.149746
liberalen : -0.145928
cvp : -0.141383
partij : -0.138200
paars : -0.137655
peel : -0.118220
boudewijn : 0.112454
keizerslaan : -0.106540
verkiezingen : -0.105598
sport : 0.103190
vandenbroucke : -0.098611
roey : 0.098556
u : 0.097340
willockx : -0.094834
socialisme : -0.087455
je : 0.086851
gesprekken : -0.083001

topic 3
armstrong : -0.362327
maan : -0.355081
aldrin : -0.223600
russische : -0.180295
aarde : -0.156383
collins : -0.148459
the : -0.146460
kennedy : -0.142083
eagle : -0.139974
neil : -0.136245
zestig : -0.128039
je : 0.120613
module : -0.115942
geukens : 0.114217
sport : 0.109436
juli : -0.107476
for : -0.099863
jacobs : 0.096115
koning : -0.091490
ruimte : -0.089988
apollo : -0.086680
ik : 0.086332
to : -0.083210
gelanceerd : -0.082798
amerikaanse : -0.082154

topic 4
geukens : -0.496514
ouders : -0.193237
michiels : -0.189711
mat : -0.171369
noch : -0.138440
gezelle : -0.137509
sport : 0.137331
beroepsgeheim : -0.129407
k : -0.125097
euro : -0.125097
dossier : -0.124826
tobback : 0.116569
leuven : -0.111639
rijkswacht : -0.109612
huisbezoek : -0.105786
je : 0.104392
karine : -0.104027
politie : -0.102482
afspraak : -0.095047
jacobs : 0.094570
parket : -0.094078
sportredactie : 0.092734
anciaux : -0.088701
daly : 0.082809
journalist : 0.081403

topic 5
anciaux : -0.238735
geukens : 0.194612
prodi : -0.183626
golf : -0.163193
tobback : 0.162333
daly : -0.150511
us : -0.149153
days : -0.138617
olazabal : -0.136676
open : -0.134412
phil : -0.129245
armstrong : 0.118155
vu : -0.116165
maan : 0.115699
koning : 0.106378
ballesteros : -0.106074
sp : 0.104914
vlaams : -0.103492
commissie : -0.101380
bert : -0.098959
ryder : -0.096977
parlement : -0.095982
sport : 0.094147
vankrunkelsven : -0.094085
russische : 0.093944

topic 6
daly : 0.244305
us : 0.233941
golf : 0.229138
geukens : 0.226413
prodi : -0.222544
olazabal : 0.219392
open : 0.193704
russische : -0.179971
ballesteros : 0.168493
phil : 0.165608
carnoustie : 0.140702
won : 0.132805
dvg : -0.131285
hole : 0.128867
dehaene : -0.121685
bal : 0.104190
captain : 0.097117
unie : -0.096219
masters : 0.091852
commissie : -0.089197
michiels : 0.085380
navo : -0.084507
langer : 0.083726
tobback : 0.081785
jeltsin : -0.080427

topic 7
russische : -0.340475
koelewijn : -0.204061
armstrong : 0.157678
jeltsin : -0.157649
dubbelspel : 0.147846
appel : -0.144766
navo : -0.143626
xavier : 0.139763
maan : 0.134468
anciaux : 0.126201
vrouwen : 0.122003
top-honderd : 0.119145
sabine : 0.118656
eliasson : -0.116855
daly : -0.113914
generaals : -0.111284
para's : -0.110514
dehaene : -0.110230
tennis : 0.106112
us : -0.104608
museum : -0.103215
je : 0.102396
olazabal : -0.101325
onze : 0.097924
filip : 0.097281

topic 8
russische : 0.219179
sport : -0.216514
xavier : 0.172540
jacobs : -0.166116
dubbelspel : 0.164396
sportredactie : -0.157447
top-honderd : 0.154629
vrouwen : 0.151530
filip : 0.142612
anciaux : -0.140841
barak : 0.139840
sabine : 0.137093
tennis : 0.124079
j
