topic 0
r. : 0.000100
abortion : 0.000100
brands : 0.000100
manville : 0.000100
qintex : 0.000100
francs : 0.000100
digital : 0.000100
democrats : 0.000100
hugo : 0.000100
jury : 0.000100
corn : 0.000100
prosecutors : 0.000100
paribas : 0.000100
insurers : 0.000100
society : 0.000100
nyse : 0.000100
pharmaceutical : 0.000100
irs : 0.000100
machine : 0.000100
apple : 0.000100
fraud : 0.000100
lawson : 0.000100
sun : 0.000100
owners : 0.000100
georgia-pacific : 0.000100

topic 1
machine : 0.000100
democrats : 0.000100
francs : 0.000100
corn : 0.000100
manville : 0.000100
qintex : 0.000100
r. : 0.000100
digital : 0.000100
sun : 0.000100
society : 0.000100
dinkins : 0.000100
owners : 0.000100
jury : 0.000100
cds : 0.000100
abortion : 0.000100
sears : 0.000100
brands : 0.000100
georgia-pacific : 0.000100
lawson : 0.000100
fraud : 0.000100
irs : 0.000100
exxon : 0.000100
guidelines : 0.000100
apple : 0.000100
mitsubishi : 0.000100

topic 2
abortion : 0.000100
machine : 0.000100
qintex : 0.000100
democrats : 0.000100
francs : 0.000100
corn : 0.000100
r. : 0.000100
digital : 0.000100
owners : 0.000100
irs : 0.000100
navigation : 0.000100
brands : 0.000100
hugo : 0.000100
reform : 0.000100
lawson : 0.000100
meetings : 0.000100
paribas : 0.000100
apple : 0.000100
jury : 0.000100
alleged : 0.000100
significantly : 0.000100
dinkins : 0.000100
trillion : 0.000100
gene : 0.000100
manville : 0.000100

topic 3
digital : 0.000142
machine : 0.000139
irs : 0.000138
abortion : 0.000138
democrats : 0.000136
hugo : 0.000135
francs : 0.000134
jury : 0.000133
dinkins : 0.000133
r. : 0.000132
brands : 0.000128
reform : 0.000128
owners : 0.000127
qintex : 0.000126
risks : 0.000126
society : 0.000125
cray : 0.000125
lawson : 0.000125
hundreds : 0.000125
navigation : 0.000124
prosecutors : 0.000124
republicans : 0.000124
mitsubishi : 0.000124
corn : 0.000123
controlled : 0.000123

topic 4
abortion : 0.000119
machine : 0.000116
francs : 0.000113
digital : 0.000113
risks : 0.000112
irs : 0.000112
reform : 0.000111
democrats : 0.000111
hugo : 0.000111
lawson : 0.000111
qintex : 0.000111
corn : 0.000111
r. : 0.000111
brands : 0.000110
cray : 0.000110
manville : 0.000110
sun : 0.000109
assistant : 0.000109
society : 0.000109
owners : 0.000109
hospital : 0.000109
mixte : 0.000109
coupon : 0.000108
insurers : 0.000108
names : 0.000108

topic 5
abortion : 0.000100
francs : 0.000100
irs : 0.000100
brands : 0.000100
alleged : 0.000100
democrats : 0.000100
digital : 0.000100
dinkins : 0.000100
r. : 0.000100
machine : 0.000100
mitsubishi : 0.000100
owners : 0.000100
paribas : 0.000100
hugo : 0.000100
phillips : 0.000100
society : 0.000100
cds : 0.000100
prosecutors : 0.000100
nuclear : 0.000100
qintex : 0.000100
risks : 0.000100
jury : 0.000100
wife : 0.000100
georgia-pacific : 0.000100
navigation : 0.000100

topic 6
francs : 0.000100
abortion : 0.000100
lawson : 0.000100
r. : 0.000100
irs : 0.000100
digital : 0.000100
corn : 0.000100
society : 0.000100
jury : 0.000100
dinkins : 0.000100
democrats : 0.000100
fraud : 0.000100
brands : 0.000100
manville : 0.000100
paribas : 0.000100
exxon : 0.000100
pharmaceutical : 0.000100
hugo : 0.000100
owners : 0.000100
qintex : 0.000100
assistant : 0.000100
reform : 0.000100
prosecutors : 0.000100
machine : 0.000100
cray : 0.000100

topic 7
abortion : 0.000142
francs : 0.000137
hugo : 0.000135
dinkins : 0.000133
digital : 0.000132
qintex : 0.000132
irs : 0.000132
machine : 0.000130
r. : 0.000130
owners : 0.000129
democrats : 0.000126
fraud : 0.000126
apple : 0.000125
alleged : 0.000125
paribas : 0.000124
brands : 0.000124
sun : 0.000123
lawson : 0.000122
residents : 0.000122
society : 0.000121
exxon : 0.000121
assistant : 0.000121
jury : 0.000121
guidelines : 0.000120
insurers : 0.000120

topic 8
francs : 0.000112
abortion : 0.000112
hugo : 0.000110
irs : 0.000110
democrats : 0.000109
r. : 0.000109
machine : 0.000108
society : 0.000107
lawson : 0.000107
slowdown : 0.000107
owners : 0.000107
risks : 0.000107
brands : 0.000107
digital : 0.000106
qintex : 0.000106
insurers : 0.000106
reform : 0.000106
paribas : 0.000106
dinkins : 0.000106
mitsubishi : 0.000106
coupon : 0.000106
gene : 0.000106
significantly : 0.000106
wife : 0.000106
corn : 0.000105

topic 9
democrats : 0.000100
irs : 0.000100
abortion : 0.000100
society : 0.000100
digital : 0.000100
francs : 0.000100
manville : 0.000100
machine : 0.000100
prosecutors : 0.000100
gene : 0.000100
r. : 0.000100
paribas : 0.000100
owners : 0.000100
risks : 0.000100
reform : 0.000100
brands : 0.000100
dinkins : 0.000100
georgia-pacific : 0.000100
exxon : 0.000100
apple : 0.000100
jury : 0.000100
navigation : 0.000100
phillips : 0.000100
qintex : 0.000100
hugo : 0.000100

