TEST_NAME                                    LAST_TRAINING_PPL   LAST_VALID_PPL      TEST_PPL            AVERAGE_SPEED [WPS] STD_SPEED           
hidden_size = 128, embedded_size = 64        213.483713508       202.323431647       193.283863784       5418.75096313       141.125566533       
hidden_size = 128, embedded_size = 128       208.530912061       198.469726904       189.707545493       5230.83866761       134.92876711        
hidden_size = 128, embedded_size = 256       202.612909602       193.464899794       184.14224315        5243.07518476       141.475462565       
hidden_size = 256, embedded_size = 64        168.617876044       171.57912268        164.389049276       4416.81626685       101.663174205       
hidden_size = 256, embedded_size = 128       160.653504985       164.628200733       157.426054381       4338.78353299       95.8049666637       
hidden_size = 256, embedded_size = 256       156.978452035       161.314093804       154.909602376       4268.66359806       101.566062062       
hidden_size = 512, embedded_size = 64        130.210457691       146.029063205       140.511478175       2671.1558941        65.8896721372       
hidden_size = 512, embedded_size = 128       126.183522257       142.612717071       137.62067003        2798.58095162       71.0470991584       
hidden_size = 512, embedded_size = 256       123.403630272       140.925859604       135.951052842       2692.31217774       66.8714266992       
init_scale = 0.005, hidden_size = 128        324.74889785        309.949291298       294.333913464       5355.66405502       455.601893815       
init_scale = 0.005, hidden_size = 512        214.695893147       225.542499523       216.809060654       2717.48420205       64.8988416899       
init_scale = 0.05, hidden_size = 128         202.623626159       193.484439377       184.157618225       5347.69673945       147.307775625       
init_scale = 0.05, hidden_size = 512         123.261549854       140.517387922       135.750850263       2705.60460555       69.4254507551       
init_scale = 0.5, hidden_size = 128          287.346934881       245.185388327       238.209122096       5285.05897927       146.41493887        
init_scale = 0.5, hidden_size = 512          336.557259488       288.191571024       279.202441576       2701.59305009       65.8538585893       
learning_rate = 0.1, lr_decay = 0.2          506.597621819       484.51085199        464.063657196       2712.70492854       63.539324802        
learning_rate = 0.1, lr_decay = 0.8          427.986239924       412.465345409       394.433971285       2717.40728438       67.9561259889       
learning_rate = 0.1, lr_decay = 1.0          217.065109239       216.019210361       206.54621544        2716.33064662       66.6225296575       
learning_rate = 0.5, lr_decay = 0.2          256.719053404       252.360566845       242.998149207       2714.62982548       68.0950027376       
learning_rate = 0.5, lr_decay = 0.8          180.963113625       186.159070137       178.420511019       2709.12255953       66.9301071515       
learning_rate = 0.5, lr_decay = 1.0          89.6043795376       124.553320533       120.215868167       2699.45077591       67.1806376472       
learning_rate = 1.0, lr_decay = 0.2          169.257943284       174.522837313       168.004105286       2703.09642442       67.594973687        
learning_rate = 1.0, lr_decay = 0.8          123.393102279       140.918030375       135.94083374        2705.72846894       66.0982806619       
learning_rate = 1.0, lr_decay = 1.0          64.7377064946       115.899982831       111.703406283       2713.94201779       67.738504376        
num_layers = 1                               106.721086182       133.240697103       129.012696947       4321.269074         105.92782833        
num_layers = 2                               123.40886265        140.930164386       135.955705948       2695.27001356       65.7043029854       
num_layers = 3                               155.187473157       167.423381503       161.040097127       1975.71149409       47.6926869553       
batch_size = 10                              85.3649655245       115.758637963       111.473437498       1664.34901113       81.9527264043       
batch_size = 20                              123.406171338       140.927997178       135.953136272       2704.24860446       66.0987350648       
batch_size = 40                              181.659628085       187.199685457       179.488079524       3575.63837008       30.6062840541       
loss_function = full_softmax                 123.406796204       140.928582777       135.953684203       2715.54722598       64.4447637874       
loss_function = sampled_softmax              11.6537080702       148.156855171       142.643350461       3262.24593283       71.122017128        
max_grad_norm = 1.0                          123.229896573       140.95611466        135.81791304        2719.36922855       67.4696568087       
max_grad_norm = 5.0                          123.402925062       140.925247617       135.950418027       2715.19224355       66.3061891524       
max_grad_norm = 10.0                         123.406415657       140.928262378       135.95335041        2714.13797508       65.9170823469       
optimizer = GradDesc                         123.404813778       140.92673079        135.952051105       2711.28132547       65.996291227        
optimizer = Adadelta                         1027.70999835       969.312947148       937.744815615       2664.46685981       68.9984413137       
optimizer = Adagrad                          71.1845841424       108.340696085       104.683564823       2698.85596381       67.2486932632       
optimizer = Adam                             74.1439511901       133.091669721       120.056715199       2511.15787773       59.7214083264       
optimizer = Momentum                         98.8566884076       124.099412153       119.343441729       2701.93482096       68.8277306582       
