input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.37400817871   <-> 5.37878274918   || 0
dit             | weekend         | 4.13695955276   <-> 3.42733716965   || 1
weekend         | wordt           | 3.27536392212   <-> 3.31672143936   || 0
wordt           | op              | 4.80765151978   <-> 5.30951595306   || 0
op              | <UNK>           | 4.68823623657   <-> 3.67017269135   || 1
<UNK>           | de              | 4.13443994522   <-> 3.62722659111   || 1
de              | British         | 12.4754018784   <-> 11.6501197815   || 1
British         | Open            | 1.69134378433   <-> 2.49670481682   || 0
Open            | gespeeld        | 7.45058488846   <-> 7.58448505402   || 0
gespeeld        | </s>            | 1.0407627821    <-> 1.03480148315   || 1
<s>             | en              | 4.21926021576   <-> 4.37637233734   || 0
en              | noteer          | 11.4654827118   <-> 12.2927961349   || 0
noteer          | voor            | 4.72101593018   <-> 5.31961917877   || 0
voor            | september       | 9.29471206665   <-> 8.98467540741   || 1
september       | alvast          | 7.83990955353   <-> 8.10861778259   || 0
alvast          | de              | 2.16169595718   <-> 2.58149909973   || 0
de              | Ryder           | 13.6786623001   <-> 13.1888685226   || 1
Ryder           | Cup             | 1.99018883705   <-> 2.08620834351   || 0
Cup             | </s>            | 1.05017542839   <-> 0.937204122543  || 1
<s>             | sport           | 9.70159721375   <-> 9.23358821869   || 1
sport           | </s>            | 2.57783985138   <-> 2.96309757233   || 0
<s>             | nooit           | 8.52581977844   <-> 8.66677474976   || 0
nooit           | geweten         | 9.8253068924    <-> 10.2010202408   || 0
geweten         | dat             | 2.97397136688   <-> 2.70363259315   || 1
dat             | het             | 2.39856600761   <-> 2.53455591202   || 0
het             | woord           | 6.01955127716   <-> 6.473279953     || 0
woord           | bestond         | 8.20043849945   <-> 8.92954826355   || 0
bestond         | </s>            | 1.50066637993   <-> 1.2840565443    || 1
<s>             | dat             | 3.77041125298   <-> 3.82421135902   || 0
dat             | is              | 1.57362508774   <-> 1.67647314072   || 0
is              | één           | 6.6395740509    <-> 6.86856842041   || 0
één           | boven           | 9.90584182739   <-> 9.64600753784   || 1
boven           | par             | 13.1954450607   <-> 12.6703166962   || 1
par             | en              | 3.38610386848   <-> 3.70492911339   || 0
en              | voor            | 7.07561063766   <-> 6.89214992523   || 1
voor            | een             | 2.47517871857   <-> 2.5258295536    || 0
een             | professional    | 10.7326107025   <-> 10.3624534607   || 1
professional    | is              | 5.4643778801    <-> 5.89010095596   || 0
is              | dat             | 3.85327482224   <-> 3.96522164345   || 0
dat             | een             | 2.58648443222   <-> 2.81687378883   || 0
een             | zware           | 6.68068647385   <-> 6.90344715118   || 0
zware           | misser          | 10.9538164139   <-> 9.98341941833   || 1
misser          | </s>            | 0.778599560261  <-> 1.43802332878   || 0
<s>             | een             | 3.23031020164   <-> 3.55717802048   || 0
een             | double          | 11.0776233673   <-> 10.6266345978   || 1
double          | <UNK>           | 1.29668867588   <-> 1.22184169292   || 1
<UNK>           | ja              | 9.4795627594    <-> 8.93786525726   || 1
ja              | </s>            | 2.48494338989   <-> 2.16057753563   || 1
<s>             | twee            | 6.47265338898   <-> 6.45997858047   || 1
twee            | boven           | 11.0520324707   <-> 10.7496385574   || 1
boven           | paragraaf       | 12.8730716705   <-> 12.5637378693   || 1
paragraaf       | </s>            | 1.3901553154    <-> 2.11852741241   || 0
<s>             | courante        | 14.6154232025   <-> 14.4177970886   || 1
courante        | praktijk        | 9.68294620514   <-> 8.82000827789   || 1
praktijk        | voor            | 3.96585655212   <-> 4.2599811554    || 0
voor            | een             | 2.25684070587   <-> 2.66272974014   || 0
een             | amateur         | 11.0690078735   <-> 10.8303279877   || 1
