input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.37878274918   || 1
dit             | weekend         | 4.75014400482   <-> 3.42733716965   || 1
weekend         | wordt           | 4.63870716095   <-> 3.31672143936   || 1
wordt           | op              | 4.22083091736   <-> 5.30951595306   || 0
op              | <UNK>           | 3.43128561974   <-> 3.67017269135   || 0
<UNK>           | de              | 3.68814349174   <-> 3.62722659111   || 1
de              | British         | 10.9075593948   <-> 11.6501197815   || 0
British         | Open            | 4.41899061203   <-> 2.49670481682   || 1
Open            | gespeeld        | 8.17636871338   <-> 7.58448505402   || 1
gespeeld        | </s>            | 0.838772118092  <-> 1.03480148315   || 0
<s>             | en              | 4.11452198029   <-> 4.37637233734   || 0
en              | noteer          | 11.805688858    <-> 12.2927961349   || 0
noteer          | voor            | 4.88084220886   <-> 5.31961917877   || 0
voor            | september       | 9.71430587769   <-> 8.98467540741   || 1
september       | alvast          | 8.54992771149   <-> 8.10861778259   || 1
alvast          | de              | 2.03746342659   <-> 2.58149909973   || 0
de              | Ryder           | 13.1233320236   <-> 13.1888685226   || 0
Ryder           | Cup             | 6.14413356781   <-> 2.08620834351   || 1
Cup             | </s>            | 1.00756466389   <-> 0.937204122543  || 1
<s>             | sport           | 10.1120023727   <-> 9.23358821869   || 1
sport           | </s>            | 2.727891922     <-> 2.96309757233   || 0
<s>             | nooit           | 8.0248374939    <-> 8.66677474976   || 0
nooit           | geweten         | 8.63964653015   <-> 10.2010202408   || 0
geweten         | dat             | 2.66525697708   <-> 2.70363259315   || 0
dat             | het             | 2.33537793159   <-> 2.53455591202   || 0
het             | woord           | 6.35452699661   <-> 6.473279953     || 0
woord           | bestond         | 9.13796138763   <-> 8.92954826355   || 1
bestond         | </s>            | 1.63808465004   <-> 1.2840565443    || 1
<s>             | dat             | 3.60147190094   <-> 3.82421135902   || 0
dat             | is              | 1.72161388397   <-> 1.67647314072   || 1
is              | één           | 6.56780529022   <-> 6.86856842041   || 0
één           | boven           | 9.38376712799   <-> 9.64600753784   || 0
boven           | par             | 13.7806253433   <-> 12.6703166962   || 1
par             | en              | 3.23322367668   <-> 3.70492911339   || 0
en              | voor            | 5.70248794556   <-> 6.89214992523   || 0
voor            | een             | 2.28806614876   <-> 2.5258295536    || 0
een             | professional    | 11.1916046143   <-> 10.3624534607   || 1
professional    | is              | 6.49636030197   <-> 5.89010095596   || 1
is              | dat             | 3.36151432991   <-> 3.96522164345   || 0
dat             | een             | 3.12324810028   <-> 2.81687378883   || 1
een             | zware           | 6.60109233856   <-> 6.90344715118   || 0
zware           | misser          | 10.384563446    <-> 9.98341941833   || 1
misser          | </s>            | 1.74331390858   <-> 1.43802332878   || 1
<s>             | een             | 3.62756824493   <-> 3.55717802048   || 1
een             | double          | 11.6681528091   <-> 10.6266345978   || 1
double          | <UNK>           | 1.43365705013   <-> 1.22184169292   || 1
<UNK>           | ja              | 8.43649101257   <-> 8.93786525726   || 0
ja              | </s>            | 3.95816278458   <-> 2.16057753563   || 1
<s>             | twee            | 6.38432455063   <-> 6.45997858047   || 0
twee            | boven           | 10.0842409134   <-> 10.7496385574   || 0
boven           | paragraaf       | 13.3805751801   <-> 12.5637378693   || 1
paragraaf       | </s>            | 1.53481066227   <-> 2.11852741241   || 0
<s>             | courante        | 13.9552764893   <-> 14.4177970886   || 0
courante        | praktijk        | 10.8708925247   <-> 8.82000827789   || 1
praktijk        | voor            | 3.14273452759   <-> 4.2599811554    || 0
voor            | een             | 2.40430831909   <-> 2.66272974014   || 0
een             | amateur         | 10.5443105698   <-> 10.8303279877   || 0
amateur         | voor            | 4.09307193756   <-> 3.77256679535   || 1
voor            | een             | 2.27184987068   <-> 2.29362773895   || 0
