input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.37400817871   || 1
dit             | weekend         | 4.75014400482   <-> 4.13695955276   || 1
weekend         | wordt           | 4.63870716095   <-> 3.27536392212   || 1
wordt           | op              | 4.22083091736   <-> 4.80765151978   || 0
op              | <UNK>           | 3.43128561974   <-> 4.68823623657   || 0
<UNK>           | de              | 3.68814349174   <-> 4.13443994522   || 0
de              | British         | 10.9075593948   <-> 12.4754018784   || 0
British         | Open            | 4.41899061203   <-> 1.69134378433   || 1
Open            | gespeeld        | 8.17636871338   <-> 7.45058488846   || 1
gespeeld        | </s>            | 0.838772118092  <-> 1.0407627821    || 0
<s>             | en              | 4.11452198029   <-> 4.21926021576   || 0
en              | noteer          | 11.805688858    <-> 11.4654827118   || 1
noteer          | voor            | 4.88084220886   <-> 4.72101593018   || 1
voor            | september       | 9.71430587769   <-> 9.29471206665   || 1
september       | alvast          | 8.54992771149   <-> 7.83990955353   || 1
alvast          | de              | 2.03746342659   <-> 2.16169595718   || 0
de              | Ryder           | 13.1233320236   <-> 13.6786623001   || 0
Ryder           | Cup             | 6.14413356781   <-> 1.99018883705   || 1
Cup             | </s>            | 1.00756466389   <-> 1.05017542839   || 0
<s>             | sport           | 10.1120023727   <-> 9.70159721375   || 1
sport           | </s>            | 2.727891922     <-> 2.57783985138   || 1
<s>             | nooit           | 8.0248374939    <-> 8.52581977844   || 0
nooit           | geweten         | 8.63964653015   <-> 9.8253068924    || 0
geweten         | dat             | 2.66525697708   <-> 2.97397136688   || 0
dat             | het             | 2.33537793159   <-> 2.39856600761   || 0
het             | woord           | 6.35452699661   <-> 6.01955127716   || 1
woord           | bestond         | 9.13796138763   <-> 8.20043849945   || 1
bestond         | </s>            | 1.63808465004   <-> 1.50066637993   || 1
<s>             | dat             | 3.60147190094   <-> 3.77041125298   || 0
dat             | is              | 1.72161388397   <-> 1.57362508774   || 1
is              | één           | 6.56780529022   <-> 6.6395740509    || 0
één           | boven           | 9.38376712799   <-> 9.90584182739   || 0
boven           | par             | 13.7806253433   <-> 13.1954450607   || 1
par             | en              | 3.23322367668   <-> 3.38610386848   || 0
en              | voor            | 5.70248794556   <-> 7.07561063766   || 0
voor            | een             | 2.28806614876   <-> 2.47517871857   || 0
een             | professional    | 11.1916046143   <-> 10.7326107025   || 1
professional    | is              | 6.49636030197   <-> 5.4643778801    || 1
is              | dat             | 3.36151432991   <-> 3.85327482224   || 0
dat             | een             | 3.12324810028   <-> 2.58648443222   || 1
een             | zware           | 6.60109233856   <-> 6.68068647385   || 0
zware           | misser          | 10.384563446    <-> 10.9538164139   || 0
misser          | </s>            | 1.74331390858   <-> 0.778599560261  || 1
<s>             | een             | 3.62756824493   <-> 3.23031020164   || 1
een             | double          | 11.6681528091   <-> 11.0776233673   || 1
double          | <UNK>           | 1.43365705013   <-> 1.29668867588   || 1
<UNK>           | ja              | 8.43649101257   <-> 9.4795627594    || 0
ja              | </s>            | 3.95816278458   <-> 2.48494338989   || 1
<s>             | twee            | 6.38432455063   <-> 6.47265338898   || 0
twee            | boven           | 10.0842409134   <-> 11.0520324707   || 0
boven           | paragraaf       | 13.3805751801   <-> 12.8730716705   || 1
paragraaf       | </s>            | 1.53481066227   <-> 1.3901553154    || 1
<s>             | courante        | 13.9552764893   <-> 14.6154232025   || 0
courante        | praktijk        | 10.8708925247   <-> 9.68294620514   || 1
praktijk        | voor            | 3.14273452759   <-> 3.96585655212   || 0
voor            | een             | 2.40430831909   <-> 2.25684070587   || 1
een             | amateur         | 10.5443105698   <-> 11.0690078735   || 0
amateur         | voor            | 4.09307193756   <-> 4.2010011673    || 0
voor            | een             | 2.27184987068   <-> 2.05358600616   || 1
een             | professional    | 11.0587387085   <-> 10.7838516235   || 1
professional    | een             | 4.90120697021   <-> 4.57928228378   || 1
een             | catastrofe      | 9.47862243652   <-> 9.24145793915   || 1
catastrofe      | </s>            | 1.3322404623    <-> 1.13357007504   || 1
<s>             | een             | 3.3727581501    <-> 3.02609062195   || 1
een             | triple          | 12.9606199265   <-> 12.3942127228   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.33742892742   || 1
<UNK>           | daarvan         | 9.11311721802   <-> 10.0950994492   || 0
daarvan         | wordt           | 3.93157243729   <-> 3.47316408157   || 1
wordt           | een             | 2.43014144897   <-> 2.11358094215   || 1
een             | amateur         | 10.5524177551   <-> 10.2865829468   || 1
amateur         | zeer            | 8.35335159302   <-> 8.70337772369   || 0
zeer            | <UNK>           | 2.32497882843   <-> 3.18511605263   || 0
<UNK>           | een             | 4.7576789856    <-> 4.89477014542   || 0
een             | professional    | 11.1064596176   <-> 10.5514450073   || 1
professional    | die             | 3.60719466209   <-> 2.74803996086   || 1
die             | het             | 3.26224684715   <-> 3.18220305443   || 1
het             | overkomt        | 8.96210289001   <-> 9.42060375214   || 0
overkomt        | levert          | 8.75410175323   <-> 8.9927816391    || 0
levert          | zijn            | 4.225938797     <-> 4.78351688385   || 0
zijn            | clubs           | 11.2070512772   <-> 9.64129447937   || 1
clubs           | in              | 2.94019579887   <-> 2.51879024506   || 1
in              | </s>            | 2.75510644913   <-> 2.80538630486   || 0
<s>             | met             | 4.50248765945   <-> 4.60061740875   || 0
met             | <UNK>           | 2.9268116951    <-> 2.74621129036   || 1
<UNK>           | boven           | 8.58613586426   <-> 8.24621295929   || 1
boven           | par             | 13.3539485931   <-> 12.8883075714   || 1
par             | zijn            | 6.30486297607   <-> 7.10375213623   || 0
zijn            | we              | 5.30744743347   <-> 3.22749233246   || 1
we              | bij             | 5.0947971344    <-> 5.18692302704   || 0
bij             | <UNK>           | 2.75980520248   <-> 2.78887748718   || 0
<UNK>           | </s>            | 2.16508865356   <-> 1.8010417223    || 1
<s>             | schijnt         | 12.234834671    <-> 13.0830574036   || 0
schijnt         | één           | 7.32552242279   <-> 7.12656784058   || 1
één           | keer            | 3.74675369263   <-> 4.87097024918   || 0
keer            | per             | 6.4796037674    <-> 4.71277761459   || 1
per             | halve           | 8.47886657715   <-> 7.38289117813   || 1
halve           | eeuw            | 5.62365961075   <-> 4.09142017365   || 1
eeuw            | voor            | 4.17715930939   <-> 4.04333114624   || 1
voor            | te              | 4.54482555389   <-> 4.08733034134   || 1
te              | komen           | 3.97349119186   <-> 4.3773856163    || 0
komen           | in              | 3.22977685928   <-> 3.27835416794   || 0
in              | het             | 2.02052950859   <-> 1.88575577736   || 1
het             | professionele   | 9.71067905426   <-> 8.94322681427   || 1
professionele   | golf            | 11.3890705109   <-> 10.9414014816   || 1
golf            | maar            | 5.34573888779   <-> 4.7045249939    || 1
maar            | niemand         | 7.03544902802   <-> 6.83218383789   || 1
niemand         | weet            | 4.22646045685   <-> 3.80010342598   || 1
weet            | waar            | 6.70506000519   <-> 6.43595981598   || 1
waar            | </s>            | 5.27214813232   <-> 4.50300550461   || 1
<s>             | bij             | 5.11093235016   <-> 5.05193138123   || 1
bij             | analogie        | 11.1309728622   <-> 12.1095380783   || 0
analogie        | moet            | 5.58565330505   <-> 5.70947790146   || 0
moet            | vijf            | 8.44062232971   <-> 10.1816530228   || 0
vijf            | boven           | 9.59891986847   <-> 10.3468379974   || 0
boven           | par             | 14.5898284912   <-> 13.6832094193   || 1
par             | dan             | 6.67796754837   <-> 7.11734390259   || 0
dan             | een             | 2.2378411293    <-> 2.61898231506   || 0
een             | <UNK>           | 1.89252460003   <-> 2.14787817001   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.62822699547   || 1
<UNK>           | zijn            | 4.05903863907   <-> 3.20802688599   || 1
zijn            | </s>            | 1.23695254326   <-> 0.572817027569  || 1
<s>             | nooit           | 7.69998645782   <-> 7.7143497467    || 0
nooit           | tegengekomen    | 11.5693473816   <-> 12.6695661545   || 0
tegengekomen    | in              | 3.49418592453   <-> 4.02478504181   || 0
in              | de              | 1.17592334747   <-> 1.34048366547   || 0
de              | vakliteratuur   | 12.2324428558   <-> 11.1622066498   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.36007392406   || 1
<s>             | zes             | 7.46860456467   <-> 7.91110515594   || 0
zes             | zou             | 8.66418170929   <-> 8.5026473999    || 1
zou             | <UNK>           | 3.43387174606   <-> 4.3812994957    || 0
<UNK>           | kunnen          | 5.61184215546   <-> 3.64792728424   || 1
kunnen          | zijn            | 2.5912759304    <-> 2.51085972786   || 1
zijn            | al              | 6.05984401703   <-> 6.36899089813   || 0
al              | doet            | 7.3321814537    <-> 7.94738864899   || 0
doet            | dat             | 3.9738047123    <-> 4.24287319183   || 0
dat             | meer            | 5.84785842896   <-> 6.19390201569   || 0
meer            | denken          | 8.27400016785   <-> 7.90121555328   || 1
denken          | aan             | 3.61286592484   <-> 3.50246286392   || 1
aan             | een             | 2.44553232193   <-> 2.40578174591   || 1
een             | goedkope        | 8.04768562317   <-> 8.58453559875   || 0
goedkope        | gore            | 11.7240953445   <-> 11.5968055725   || 1
gore            | tent            | 8.90029335022   <-> 9.35213184357   || 0
tent            | in              | 2.9653532505    <-> 2.85871434212   || 1
in              | Soho            | 11.9614200592   <-> 10.9568281174   || 1
Soho            | </s>            | 0.690528988838  <-> 0.433003842831  || 1
<s>             | en              | 4.20953273773   <-> 3.9708981514    || 1
en              | dan             | 3.66930389404   <-> 2.80296111107   || 1
dan             | zijn            | 3.54787778854   <-> 3.21418094635   || 1
zijn            | we              | 1.93139028549   <-> 2.42689275742   || 0
we              | er              | 3.8636739254    <-> 3.51653814316   || 1
er              | </s>            | 6.0387878418    <-> 5.97049665451   || 1
<s>             | John            | 8.81902503967   <-> 8.94587516785   || 0
John            | <UNK>           | 1.31285059452   <-> 1.19290232658   || 1
<UNK>           | op              | 4.74643993378   <-> 4.59261322021   || 1
op              | de              | 1.30409288406   <-> 1.57392597198   || 0
de              | US              | 9.1650352478    <-> 7.68789243698   || 1
US              | Open            | 1.14290380478   <-> 0.77480751276   || 1
Open            | van             | 2.96284365654   <-> 3.12991189957   || 0
van             | dit             | 5.32074165344   <-> 5.17288923264   || 1
dit             | jaar            | 0.763605177402  <-> 1.01225197315   || 0
jaar            | </s>            | 1.97753500938   <-> 1.54117596149   || 1
<s>             | de              | 1.8519974947    <-> 1.99994111061   || 0
de              | achtste         | 8.80850601196   <-> 8.51274871826   || 1
achtste         | hole            | 11.7931928635   <-> 10.3934078217   || 1
hole            | op              | 3.94823169708   <-> 4.1902089119    || 0
op              | de              | 1.14308214188   <-> 1.00773310661   || 1
de              | baan            | 7.53812217712   <-> 7.16747283936   || 1
baan            | van             | 2.10328030586   <-> 1.82134783268   || 1
van             | <UNK>           | 2.347843647     <-> 2.55927181244   || 0
<UNK>           | No              | 10.5282506943   <-> 10.8848876953   || 0
No              | </s>            | 3.77538108826   <-> 3.31449174881   || 1
<s>             | een             | 3.39050674438   <-> 3.65683984756   || 0
een             | par             | 12.7680482864   <-> 13.2563934326   || 0
par             | vier            | 8.34469795227   <-> 8.03652954102   || 1
vier            | komma           | 2.69885969162   <-> 3.35580468178   || 0
komma           | en              | 5.52428483963   <-> 4.79465103149   || 1
en              | niet            | 5.57401847839   <-> 6.22747135162   || 0
niet            | eens            | 5.30759811401   <-> 4.63220882416   || 1
eens            | een             | 2.81321287155   <-> 3.16607904434   || 0
een             | moeilijke       | 7.60408687592   <-> 7.16274833679   || 1
moeilijke       | </s>            | 7.88817119598   <-> 7.07598733902   || 1
<s>             | elf             | 8.12758827209   <-> 9.39950656891   || 0
elf             | slagen          | 10.7580795288   <-> 10.8636960983   || 0
slagen          | had             | 7.51709365845   <-> 6.85278320312   || 1
had             | hij             | 5.06402540207   <-> 4.52429056168   || 1
hij             | nodig           | 6.37719106674   <-> 6.17683696747   || 1
