input           | target          | original0       <-> cbow_mean_lstm0 || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.5006685257    || 1
dit             | weekend         | 4.75014400482   <-> 4.24005699158   || 1
weekend         | wordt           | 4.63870716095   <-> 3.04468822479   || 1
wordt           | op              | 4.22083091736   <-> 4.35323905945   || 0
op              | <UNK>           | 3.43128561974   <-> 4.26851940155   || 0
<UNK>           | de              | 3.68814349174   <-> 3.17214441299   || 1
de              | British         | 10.9075593948   <-> 11.098405838    || 0
British         | Open            | 4.41899061203   <-> 1.2837574482    || 1
Open            | gespeeld        | 8.17636871338   <-> 6.70153474808   || 1
gespeeld        | </s>            | 0.838772118092  <-> 1.02837276459   || 0
<s>             | en              | 4.11452198029   <-> 4.61784315109   || 0
en              | noteer          | 11.805688858    <-> 12.2718839645   || 0
noteer          | voor            | 4.88084220886   <-> 4.92384052277   || 0
voor            | september       | 9.71430587769   <-> 8.99093437195   || 1
september       | alvast          | 8.54992771149   <-> 8.31793212891   || 1
alvast          | de              | 2.03746342659   <-> 2.18192195892   || 0
de              | Ryder           | 13.1233320236   <-> 13.1561565399   || 0
Ryder           | Cup             | 6.14413356781   <-> 2.04583787918   || 1
Cup             | </s>            | 1.00756466389   <-> 0.800481498241  || 1
<s>             | sport           | 10.1120023727   <-> 9.18859958649   || 1
sport           | </s>            | 2.727891922     <-> 2.9936709404    || 0
<s>             | nooit           | 8.0248374939    <-> 8.80464839935   || 0
nooit           | geweten         | 8.63964653015   <-> 10.4692411423   || 0
geweten         | dat             | 2.66525697708   <-> 2.75590062141   || 0
dat             | het             | 2.33537793159   <-> 2.47008371353   || 0
het             | woord           | 6.35452699661   <-> 6.83030223846   || 0
woord           | bestond         | 9.13796138763   <-> 9.1491985321    || 0
bestond         | </s>            | 1.63808465004   <-> 1.119587183     || 1
<s>             | dat             | 3.60147190094   <-> 4.26984167099   || 0
dat             | is              | 1.72161388397   <-> 1.75622022152   || 0
is              | één           | 6.56780529022   <-> 6.13947582245   || 1
één           | boven           | 9.38376712799   <-> 10.0794143677   || 0
boven           | par             | 13.7806253433   <-> 13.370642662    || 1
par             | en              | 3.23322367668   <-> 3.91630077362   || 0
en              | voor            | 5.70248794556   <-> 6.29826927185   || 0
voor            | een             | 2.28806614876   <-> 2.58587288857   || 0
een             | professional    | 11.1916046143   <-> 10.9457025528   || 1
