input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.57227230072   || 1
dit             | weekend         | 4.75014400482   <-> 3.47772145271   || 1
weekend         | wordt           | 4.63870716095   <-> 2.88803768158   || 1
wordt           | op              | 4.22083091736   <-> 5.59103775024   || 0
op              | <UNK>           | 3.43128561974   <-> 5.11939430237   || 0
<UNK>           | de              | 3.68814349174   <-> 3.75444889069   || 0
de              | British         | 10.9075593948   <-> 13.0135955811   || 0
British         | Open            | 4.41899061203   <-> 1.69304597378   || 1
Open            | gespeeld        | 8.17636871338   <-> 5.87829589844   || 1
gespeeld        | </s>            | 0.838772118092  <-> 0.466918170452  || 1
<s>             | en              | 4.11452198029   <-> 4.40512275696   || 0
en              | noteer          | 11.805688858    <-> 11.291847229    || 1
noteer          | voor            | 4.88084220886   <-> 4.5133228302    || 1
voor            | september       | 9.71430587769   <-> 9.72934150696   || 0
september       | alvast          | 8.54992771149   <-> 7.36186122894   || 1
alvast          | de              | 2.03746342659   <-> 2.15915799141   || 0
de              | Ryder           | 13.1233320236   <-> 13.2227392197   || 0
Ryder           | Cup             | 6.14413356781   <-> 1.54587578773   || 1
Cup             | </s>            | 1.00756466389   <-> 1.07140398026   || 0
<s>             | sport           | 10.1120023727   <-> 9.14863300323   || 1
sport           | </s>            | 2.727891922     <-> 2.84528875351   || 0
<s>             | nooit           | 8.0248374939    <-> 9.15493583679   || 0
nooit           | geweten         | 8.63964653015   <-> 10.4200801849   || 0
geweten         | dat             | 2.66525697708   <-> 2.40589904785   || 1
dat             | het             | 2.33537793159   <-> 2.25450086594   || 1
het             | woord           | 6.35452699661   <-> 6.91456985474   || 0
woord           | bestond         | 9.13796138763   <-> 9.76427555084   || 0
bestond         | </s>            | 1.63808465004   <-> 1.39014697075   || 1
<s>             | dat             | 3.60147190094   <-> 3.9644985199    || 0
dat             | is              | 1.72161388397   <-> 1.55478215218   || 1
is              | één           | 6.56780529022   <-> 5.79814147949   || 1
één           | boven           | 9.38376712799   <-> 9.90534210205   || 0
boven           | par             | 13.7806253433   <-> 13.072063446    || 1
par             | en              | 3.23322367668   <-> 4.01523208618   || 0
en              | voor            | 5.70248794556   <-> 5.02266597748   || 1
voor            | een             | 2.28806614876   <-> 2.60270547867   || 0
een             | professional    | 11.1916046143   <-> 10.5143890381   || 1
professional    | is              | 6.49636030197   <-> 5.37344551086   || 1
is              | dat             | 3.36151432991   <-> 3.26887798309   || 1
dat             | een             | 3.12324810028   <-> 2.60137462616   || 1
een             | zware           | 6.60109233856   <-> 7.13029193878   || 0
zware           | misser          | 10.384563446    <-> 10.1780557632   || 1
misser          | </s>            | 1.74331390858   <-> 0.966487288475  || 1
<s>             | een             | 3.62756824493   <-> 3.44573926926   || 1
een             | double          | 11.6681528091   <-> 11.06483078     || 1
double          | <UNK>           | 1.43365705013   <-> 1.13261318207   || 1
<UNK>           | ja              | 8.43649101257   <-> 9.62512207031   || 0
ja              | </s>            | 3.95816278458   <-> 3.01929235458   || 1
<s>             | twee            | 6.38432455063   <-> 6.00724458694   || 1
twee            | boven           | 10.0842409134   <-> 10.7051620483   || 0
boven           | paragraaf       | 13.3805751801   <-> 12.764875412    || 1
paragraaf       | </s>            | 1.53481066227   <-> 2.46828174591   || 0
<s>             | courante        | 13.9552764893   <-> 14.2977714539   || 0
courante        | praktijk        | 10.8708925247   <-> 9.8646736145    || 1
praktijk        | voor            | 3.14273452759   <-> 3.30514669418   || 0
voor            | een             | 2.40430831909   <-> 2.55325174332   || 0
een             | amateur         | 10.5443105698   <-> 10.6735887527   || 0
amateur         | voor            | 4.09307193756   <-> 4.11166667938   || 0
voor            | een             | 2.27184987068   <-> 2.45400190353   || 0
een             | professional    | 11.0587387085   <-> 10.5371313095   || 1
professional    | een             | 4.90120697021   <-> 5.02024078369   || 0
een             | catastrofe      | 9.47862243652   <-> 8.95770168304   || 1
catastrofe      | </s>            | 1.3322404623    <-> 1.21150422096   || 1
<s>             | een             | 3.3727581501    <-> 3.23520207405   || 1
een             | triple          | 12.9606199265   <-> 12.0395584106   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.31790161133   || 1
<UNK>           | daarvan         | 9.11311721802   <-> 9.43177700043   || 0
daarvan         | wordt           | 3.93157243729   <-> 2.96323394775   || 1
wordt           | een             | 2.43014144897   <-> 2.25109815598   || 1
een             | amateur         | 10.5524177551   <-> 10.2205781937   || 1
amateur         | zeer            | 8.35335159302   <-> 9.48884677887   || 0
zeer            | <UNK>           | 2.32497882843   <-> 2.85913014412   || 0
<UNK>           | een             | 4.7576789856    <-> 5.24052906036   || 0
een             | professional    | 11.1064596176   <-> 10.3943443298   || 1
professional    | die             | 3.60719466209   <-> 3.23915791512   || 1
die             | het             | 3.26224684715   <-> 2.95275115967   || 1
