input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.26016330719   || 1
dit             | weekend         | 4.75014400482   <-> 4.07935333252   || 1
weekend         | wordt           | 4.63870716095   <-> 3.28251576424   || 1
wordt           | op              | 4.22083091736   <-> 4.75960206985   || 0
op              | <UNK>           | 3.43128561974   <-> 3.76216936111   || 0
<UNK>           | de              | 3.68814349174   <-> 3.48981952667   || 1
de              | British         | 10.9075593948   <-> 10.9304771423   || 0
British         | Open            | 4.41899061203   <-> 3.47783684731   || 1
Open            | gespeeld        | 8.17636871338   <-> 7.68350410461   || 1
gespeeld        | </s>            | 0.838772118092  <-> 1.19532895088   || 0
<s>             | en              | 4.11452198029   <-> 4.06708335876   || 1
en              | noteer          | 11.805688858    <-> 11.9375400543   || 0
noteer          | voor            | 4.88084220886   <-> 5.2903547287    || 0
voor            | september       | 9.71430587769   <-> 10.4621515274   || 0
september       | alvast          | 8.54992771149   <-> 8.97242927551   || 0
alvast          | de              | 2.03746342659   <-> 2.02909135818   || 1
de              | Ryder           | 13.1233320236   <-> 13.2277832031   || 0
Ryder           | Cup             | 6.14413356781   <-> 2.68270015717   || 1
Cup             | </s>            | 1.00756466389   <-> 1.09121656418   || 0
<s>             | sport           | 10.1120023727   <-> 9.62120056152   || 1
sport           | </s>            | 2.727891922     <-> 2.9003174305    || 0
<s>             | nooit           | 8.0248374939    <-> 8.02218151093   || 1
nooit           | geweten         | 8.63964653015   <-> 9.81329345703   || 0
geweten         | dat             | 2.66525697708   <-> 2.26644706726   || 1
dat             | het             | 2.33537793159   <-> 2.34030818939   || 0
het             | woord           | 6.35452699661   <-> 6.35839319229   || 0
woord           | bestond         | 9.13796138763   <-> 8.85195732117   || 1
bestond         | </s>            | 1.63808465004   <-> 1.44300234318   || 1
<s>             | dat             | 3.60147190094   <-> 3.79571175575   || 0
dat             | is              | 1.72161388397   <-> 1.53689241409   || 1
is              | één           | 6.56780529022   <-> 6.48896026611   || 1
één           | boven           | 9.38376712799   <-> 8.80149078369   || 1
boven           | par             | 13.7806253433   <-> 13.9004516602   || 0
par             | en              | 3.23322367668   <-> 4.41511154175   || 0
en              | voor            | 5.70248794556   <-> 5.34181499481   || 1
voor            | een             | 2.28806614876   <-> 2.58101701736   || 0
een             | professional    | 11.1916046143   <-> 10.9298267365   || 1
professional    | is              | 6.49636030197   <-> 4.17482042313   || 1
is              | dat             | 3.36151432991   <-> 3.56708431244   || 0
dat             | een             | 3.12324810028   <-> 2.7844171524    || 1
een             | zware           | 6.60109233856   <-> 6.96818780899   || 0
zware           | misser          | 10.384563446    <-> 10.0493240356   || 1
misser          | </s>            | 1.74331390858   <-> 1.08665597439   || 1
<s>             | een             | 3.62756824493   <-> 3.69191384315   || 0
een             | double          | 11.6681528091   <-> 11.2531890869   || 1
double          | <UNK>           | 1.43365705013   <-> 1.39883100986   || 1
<UNK>           | ja              | 8.43649101257   <-> 9.5284614563    || 0
ja              | </s>            | 3.95816278458   <-> 2.40974497795   || 1
<s>             | twee            | 6.38432455063   <-> 6.01736164093   || 1
twee            | boven           | 10.0842409134   <-> 11.4976406097   || 0
boven           | paragraaf       | 13.3805751801   <-> 12.7798938751   || 1
paragraaf       | </s>            | 1.53481066227   <-> 2.04763245583   || 0
<s>             | courante        | 13.9552764893   <-> 13.4381742477   || 1
courante        | praktijk        | 10.8708925247   <-> 9.94788551331   || 1
praktijk        | voor            | 3.14273452759   <-> 4.11836242676   || 0
voor            | een             | 2.40430831909   <-> 2.73853588104   || 0
een             | amateur         | 10.5443105698   <-> 11.4609069824   || 0
amateur         | voor            | 4.09307193756   <-> 3.80654239655   || 1
voor            | een             | 2.27184987068   <-> 2.69742679596   || 0
een             | professional    | 11.0587387085   <-> 10.852930069    || 1
professional    | een             | 4.90120697021   <-> 5.02872133255   || 0
een             | catastrofe      | 9.47862243652   <-> 9.36790657043   || 1
catastrofe      | </s>            | 1.3322404623    <-> 1.39633119106   || 0
<s>             | een             | 3.3727581501    <-> 3.69191384315   || 0
een             | triple          | 12.9606199265   <-> 12.2819099426   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.4824873209    || 0
<UNK>           | daarvan         | 9.11311721802   <-> 8.91327476501   || 1
daarvan         | wordt           | 3.93157243729   <-> 3.28699111938   || 1
wordt           | een             | 2.43014144897   <-> 2.91954350471   || 0
een             | amateur         | 10.5524177551   <-> 10.4860229492   || 1
amateur         | zeer            | 8.35335159302   <-> 8.87035369873   || 0
zeer            | <UNK>           | 2.32497882843   <-> 3.4106926918    || 0
<UNK>           | een             | 4.7576789856    <-> 5.05344104767   || 0
een             | professional    | 11.1064596176   <-> 10.6120357513   || 1
professional    | die             | 3.60719466209   <-> 3.21507000923   || 1
die             | het             | 3.26224684715   <-> 3.40574884415   || 0
het             | overkomt        | 8.96210289001   <-> 9.91952133179   || 0
overkomt        | levert          | 8.75410175323   <-> 9.7453250885    || 0
levert          | zijn            | 4.225938797     <-> 5.0530538559    || 0
zijn            | clubs           | 11.2070512772   <-> 10.023768425    || 1
clubs           | in              | 2.94019579887   <-> 2.68740558624   || 1
in              | </s>            | 2.75510644913   <-> 2.90015125275   || 0
<s>             | met             | 4.50248765945   <-> 4.9116191864    || 0
met             | <UNK>           | 2.9268116951    <-> 2.78283286095   || 1
<UNK>           | boven           | 8.58613586426   <-> 8.3904800415    || 1
boven           | par             | 13.3539485931   <-> 12.8500213623   || 1
par             | zijn            | 6.30486297607   <-> 6.79431629181   || 0
zijn            | we              | 5.30744743347   <-> 4.02537345886   || 1
we              | bij             | 5.0947971344    <-> 4.51024961472   || 1
bij             | <UNK>           | 2.75980520248   <-> 3.05945563316   || 0
<UNK>           | </s>            | 2.16508865356   <-> 2.08752083778   || 1
<s>             | schijnt         | 12.234834671    <-> 12.9417381287   || 0
schijnt         | één           | 7.32552242279   <-> 7.47747612      || 0
één           | keer            | 3.74675369263   <-> 3.8606364727    || 0
keer            | per             | 6.4796037674    <-> 6.22598981857   || 1
per             | halve           | 8.47886657715   <-> 8.73851013184   || 0
halve           | eeuw            | 5.62365961075   <-> 3.09387683868   || 1
eeuw            | voor            | 4.17715930939   <-> 4.15840101242   || 1
voor            | te              | 4.54482555389   <-> 3.19004201889   || 1
te              | komen           | 3.97349119186   <-> 3.75445556641   || 1
komen           | in              | 3.22977685928   <-> 3.3088092804    || 0
in              | het             | 2.02052950859   <-> 1.86248528957   || 1
het             | professionele   | 9.71067905426   <-> 9.38339233398   || 1
professionele   | golf            | 11.3890705109   <-> 10.8742256165   || 1
golf            | maar            | 5.34573888779   <-> 4.6198091507    || 1
maar            | niemand         | 7.03544902802   <-> 6.77172851562   || 1
niemand         | weet            | 4.22646045685   <-> 3.59747409821   || 1
weet            | waar            | 6.70506000519   <-> 6.89046955109   || 0
waar            | </s>            | 5.27214813232   <-> 5.1220369339    || 1
<s>             | bij             | 5.11093235016   <-> 5.11658763885   || 0
