input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
------------------------------------------------------------------------------------------------------------------------
<s>             | dit             | 5.92626857758   <-> 5.13898229599   || 1
dit             | weekend         | 4.75014400482   <-> 4.62925291061   || 1
weekend         | wordt           | 4.63870716095   <-> 3.30963087082   || 1
wordt           | op              | 4.22083091736   <-> 5.25426387787   || 0
op              | <UNK>           | 3.43128561974   <-> 3.44572353363   || 0
<UNK>           | de              | 3.68814349174   <-> 3.3751449585    || 1
de              | British         | 10.9075593948   <-> 11.1135282516   || 0
British         | Open            | 4.41899061203   <-> 2.37907791138   || 1
Open            | gespeeld        | 8.17636871338   <-> 6.68311214447   || 1
gespeeld        | </s>            | 0.838772118092  <-> 1.42769384384   || 0
<s>             | en              | 4.11452198029   <-> 4.06346845627   || 1
en              | noteer          | 11.805688858    <-> 11.832780838    || 0
noteer          | voor            | 4.88084220886   <-> 5.11930561066   || 0
voor            | september       | 9.71430587769   <-> 9.7879447937    || 0
september       | alvast          | 8.54992771149   <-> 8.11507415771   || 1
alvast          | de              | 2.03746342659   <-> 2.56212997437   || 0
de              | Ryder           | 13.1233320236   <-> 13.5643901825   || 0
Ryder           | Cup             | 6.14413356781   <-> 3.19750022888   || 1
Cup             | </s>            | 1.00756466389   <-> 1.06986629963   || 0
<s>             | sport           | 10.1120023727   <-> 9.65020275116   || 1
sport           | </s>            | 2.727891922     <-> 2.73680496216   || 0
<s>             | nooit           | 8.0248374939    <-> 7.9644370079    || 1
nooit           | geweten         | 8.63964653015   <-> 9.64834403992   || 0
geweten         | dat             | 2.66525697708   <-> 1.85788929462   || 1
dat             | het             | 2.33537793159   <-> 2.43394899368   || 0
het             | woord           | 6.35452699661   <-> 5.51093435287   || 1
woord           | bestond         | 9.13796138763   <-> 8.50851249695   || 1
bestond         | </s>            | 1.63808465004   <-> 1.29975283146   || 1
<s>             | dat             | 3.60147190094   <-> 3.80668210983   || 0
dat             | is              | 1.72161388397   <-> 1.6140859127    || 1
is              | één           | 6.56780529022   <-> 6.34253978729   || 1
één           | boven           | 9.38376712799   <-> 9.17510032654   || 1
boven           | par             | 13.7806253433   <-> 13.8196496964   || 0
par             | en              | 3.23322367668   <-> 3.46860957146   || 0
en              | voor            | 5.70248794556   <-> 5.30034637451   || 1
voor            | een             | 2.28806614876   <-> 2.38119602203   || 0
een             | professional    | 11.1916046143   <-> 10.8848400116   || 1
professional    | is              | 6.49636030197   <-> 5.05119085312   || 1
is              | dat             | 3.36151432991   <-> 3.52129411697   || 0
dat             | een             | 3.12324810028   <-> 2.88947629929   || 1
een             | zware           | 6.60109233856   <-> 7.07531452179   || 0
zware           | misser          | 10.384563446    <-> 10.3624897003   || 1
misser          | </s>            | 1.74331390858   <-> 2.76789140701   || 0
<s>             | een             | 3.62756824493   <-> 3.64563417435   || 0
een             | double          | 11.6681528091   <-> 11.1506557465   || 1
double          | <UNK>           | 1.43365705013   <-> 1.36609745026   || 1
<UNK>           | ja              | 8.43649101257   <-> 8.94793224335   || 0
ja              | </s>            | 3.95816278458   <-> 2.27063584328   || 1
<s>             | twee            | 6.38432455063   <-> 5.9922504425    || 1
twee            | boven           | 10.0842409134   <-> 11.0605144501   || 0
boven           | paragraaf       | 13.3805751801   <-> 13.2862625122   || 1
paragraaf       | </s>            | 1.53481066227   <-> 3.49691104889   || 0
<s>             | courante        | 13.9552764893   <-> 14.0350885391   || 0
courante        | praktijk        | 10.8708925247   <-> 9.04723930359   || 1
praktijk        | voor            | 3.14273452759   <-> 3.83391141891   || 0
voor            | een             | 2.40430831909   <-> 2.79467344284   || 0
een             | amateur         | 10.5443105698   <-> 11.6523590088   || 0
amateur         | voor            | 4.09307193756   <-> 3.77519536018   || 1
voor            | een             | 2.27184987068   <-> 2.41061902046   || 0
een             | professional    | 11.0587387085   <-> 11.1831703186   || 0
professional    | een             | 4.90120697021   <-> 4.790143013     || 1
een             | catastrofe      | 9.47862243652   <-> 8.99686527252   || 1
catastrofe      | </s>            | 1.3322404623    <-> 1.00022125244   || 1
<s>             | een             | 3.3727581501    <-> 3.64563417435   || 0
een             | triple          | 12.9606199265   <-> 12.4053096771   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.50786483288   || 0
<UNK>           | daarvan         | 9.11311721802   <-> 9.11951541901   || 0
daarvan         | wordt           | 3.93157243729   <-> 3.64199972153   || 1
wordt           | een             | 2.43014144897   <-> 2.59962558746   || 0
een             | amateur         | 10.5524177551   <-> 10.4735689163   || 1
amateur         | zeer            | 8.35335159302   <-> 8.45325088501   || 0
zeer            | <UNK>           | 2.32497882843   <-> 2.60467267036   || 0
<UNK>           | een             | 4.7576789856    <-> 4.64143800735   || 1
een             | professional    | 11.1064596176   <-> 10.3879795074   || 1
professional    | die             | 3.60719466209   <-> 2.81734800339   || 1
die             | het             | 3.26224684715   <-> 3.33889007568   || 0
het             | overkomt        | 8.96210289001   <-> 8.59201908112   || 1
overkomt        | levert          | 8.75410175323   <-> 9.02182579041   || 0
levert          | zijn            | 4.225938797     <-> 4.06466770172   || 1
zijn            | clubs           | 11.2070512772   <-> 9.65388298035   || 1
clubs           | in              | 2.94019579887   <-> 2.5875146389    || 1
in              | </s>            | 2.75510644913   <-> 2.22265625      || 1
<s>             | met             | 4.50248765945   <-> 4.79509496689   || 0
met             | <UNK>           | 2.9268116951    <-> 3.060546875     || 0
<UNK>           | boven           | 8.58613586426   <-> 9.11781692505   || 0
boven           | par             | 13.3539485931   <-> 13.2481708527   || 1
par             | zijn            | 6.30486297607   <-> 6.93511009216   || 0
zijn            | we              | 5.30744743347   <-> 5.30008506775   || 1
we              | bij             | 5.0947971344    <-> 5.47310876846   || 0
bij             | <UNK>           | 2.75980520248   <-> 2.73896789551   || 1
<UNK>           | </s>            | 2.16508865356   <-> 2.42967581749   || 0
<s>             | schijnt         | 12.234834671    <-> 12.7810564041   || 0
schijnt         | één           | 7.32552242279   <-> 8.17116737366   || 0
één           | keer            | 3.74675369263   <-> 3.48219180107   || 1
keer            | per             | 6.4796037674    <-> 5.27564716339   || 1
per             | halve           | 8.47886657715   <-> 8.54004764557   || 0
halve           | eeuw            | 5.62365961075   <-> 3.38737845421   || 1
eeuw            | voor            | 4.17715930939   <-> 4.16984701157   || 1
voor            | te              | 4.54482555389   <-> 2.91339373589   || 1
te              | komen           | 3.97349119186   <-> 3.91462063789   || 1
komen           | in              | 3.22977685928   <-> 3.92374801636   || 0
in              | het             | 2.02052950859   <-> 1.82093214989   || 1
het             | professionele   | 9.71067905426   <-> 9.37411785126   || 1
professionele   | golf            | 11.3890705109   <-> 10.7200107574   || 1
golf            | maar            | 5.34573888779   <-> 5.08562278748   || 1
maar            | niemand         | 7.03544902802   <-> 6.87637519836   || 1
niemand         | weet            | 4.22646045685   <-> 4.29645776749   || 0
weet            | waar            | 6.70506000519   <-> 6.68182182312   || 1
waar            | </s>            | 5.27214813232   <-> 5.38260507584   || 0
<s>             | bij             | 5.11093235016   <-> 5.10428094864   || 1
bij             | analogie        | 11.1309728622   <-> 11.4569892883   || 0
analogie        | moet            | 5.58565330505   <-> 5.8481464386    || 0
moet            | vijf            | 8.44062232971   <-> 10.213429451    || 0
vijf            | boven           | 9.59891986847   <-> 10.3642053604   || 0
boven           | par             | 14.5898284912   <-> 14.9644670486   || 0
par             | dan             | 6.67796754837   <-> 6.19691562653   || 1
dan             | een             | 2.2378411293    <-> 2.61526083946   || 0
een             | <UNK>           | 1.89252460003   <-> 2.44571208954   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.64508128166   || 1
<UNK>           | zijn            | 4.05903863907   <-> 3.39327526093   || 1
zijn            | </s>            | 1.23695254326   <-> 1.49956142902   || 0
<s>             | nooit           | 7.69998645782   <-> 7.9644370079    || 0
nooit           | tegengekomen    | 11.5693473816   <-> 11.5565576553   || 1
tegengekomen    | in              | 3.49418592453   <-> 3.42313575745   || 1
in              | de              | 1.17592334747   <-> 1.21919953823   || 0
de              | vakliteratuur   | 12.2324428558   <-> 11.2519979477   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.26581728458   || 1
<s>             | zes             | 7.46860456467   <-> 7.35943078995   || 1
zes             | zou             | 8.66418170929   <-> 9.12057209015   || 0
zou             | <UNK>           | 3.43387174606   <-> 4.02884483337   || 0
<UNK>           | kunnen          | 5.61184215546   <-> 5.02495956421   || 1
