<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
dit            | weekend        | 1.81343348231e-05-> 9.999819e-01   | 
weekend        | wordt          | 0.00133720948361-> 9.986637e-01   | 
wordt          | op             | 0.00481969956309-> 9.951919e-01   | 
op             | <UNK>          | 0.0132751557976-> 9.868126e-01   | 
<UNK>          | de             | 0.0677140802145-> 9.345276e-01   | 
de             | British        | 3.12484662572e-05-> 9.999688e-01   | 
British        | Open           | 9.31079121074e-05-> 9.999069e-01   | 
Open           | gespeeld       | 2.2448173695e-05-> 9.999775e-01   | 
gespeeld       | </s>           | 0.00831687729806-> 9.917176e-01   | 
</s>           | <s>            | 0.499500840902 -> 6.068335e-01   | 
<s>            | en             | 0.00550171034411-> 9.945134e-01   | 
en             | noteer         | 1.07775285869e-05-> 9.999892e-01   | 
noteer         | voor           | 0.00372471730225-> 9.962822e-01   | 
voor           | september      | 2.16591397475e-05-> 9.999784e-01   | 
september      | alvast         | 1.3364354345e-05-> 9.999866e-01   | 
alvast         | de             | 0.0628100782633-> 9.391218e-01   | 
de             | Ryder          | 1.85568496818e-05-> 9.999815e-01   | 
Ryder          | Cup            | 0.000109929947939-> 9.998901e-01   | 
Cup            | </s>           | 0.00813174247742-> 9.919012e-01   | 
</s>           | <s>            | 0.499466508627 -> 6.068543e-01   | 
<s>            | sport          | 4.77312896692e-05-> 9.999523e-01   | 
sport          | </s>           | 0.00549907330424-> 9.945160e-01   | 
</s>           | <s>            | 0.498236835003 -> 6.076010e-01   | 
<s>            | nooit          | 0.000247924093856-> 9.997521e-01   | 
nooit          | geweten        | 8.20731111162e-06-> 9.999918e-01   | 
geweten        | dat            | 0.00632746517658-> 9.936925e-01   | 
dat            | het            | 0.00277001759969-> 9.972338e-01   | 
het            | woord          | 5.5507174693e-05-> 9.999445e-01   | 
woord          | bestond        | 1.16099190564e-05-> 9.999884e-01   | 
bestond        | </s>           | 0.00810436811298-> 9.919284e-01   | 
</s>           | <s>            | 0.499474734068 -> 6.068493e-01   | 
<s>            | dat            | 0.0120285032317-> 9.880435e-01   | 
dat            | is             | 0.00811000633985-> 9.919228e-01   | 
is             | één          | 0.000840238004457-> 9.991601e-01   | 
één          | boven          | 0.000132514571305-> 9.998675e-01   | 
boven          | par            | 1.07415662569e-05-> 9.999893e-01   | 
par            | en             | 0.00682589830831-> 9.931973e-01   | 
en             | voor           | 0.00321414228529-> 9.967910e-01   | 
voor           | een            | 0.0124343382195-> 9.876426e-01   | 
een            | professional   | 1.04659811768e-05-> 9.999895e-01   | 
professional   | is             | 0.0055605112575-> 9.944549e-01   | 
is             | dat            | 0.00642635393888-> 9.935942e-01   | 
dat            | een            | 0.0123071037233-> 9.877683e-01   | 
een            | zware          | 2.29823908739e-05-> 9.999770e-01   | 
zware          | misser         | 9.39395067689e-06-> 9.999906e-01   | 
misser         | </s>           | 0.00824613403529-> 9.917878e-01   | 
</s>           | <s>            | 0.4994969666   -> 6.068358e-01   | 
<s>            | een            | 0.0127262566239-> 9.873544e-01   | 
een            | double         | 1.37054412335e-05-> 9.999863e-01   | 
double         | <UNK>          | 0.0143176456913-> 9.857844e-01   | 
<UNK>          | ja             | 1.82794938155e-05-> 9.999817e-01   | 
ja             | </s>           | 0.00777720892802-> 9.922529e-01   | 
</s>           | <s>            | 0.499430656433 -> 6.068761e-01   | 
<s>            | twee           | 0.000821139838081-> 9.991792e-01   | 
twee           | boven          | 0.000120732183859-> 9.998793e-01   | 
boven          | paragraaf      | 7.78632147558e-06-> 9.999922e-01   | 
paragraaf      | </s>           | 0.00739765306935-> 9.926296e-01   | 
</s>           | <s>            | 0.499359965324 -> 6.069190e-01   | 
<s>            | courante       | 1.03180773294e-05-> 9.999897e-01   | 
courante       | praktijk       | 8.02424165158e-06-> 9.999920e-01   | 
praktijk       | voor           | 0.00382217182778-> 9.961851e-01   | 
voor           | een            | 0.0125688677654-> 9.875098e-01   | 
een            | amateur        | 1.01443993117e-05-> 9.999899e-01   | 
amateur        | voor           | 0.00364944571629-> 9.963572e-01   | 
voor           | een            | 0.01233041659  -> 9.877453e-01   | 
een            | professional   | 1.04894497781e-05-> 9.999895e-01   | 
professional   | een            | 0.0100192595273-> 9.900308e-01   | 
een            | catastrofe     | 1.25117730931e-05-> 9.999875e-01   | 
catastrofe     | </s>           | 0.00889343209565-> 9.911460e-01   | 
</s>           | <s>            | 0.499428927898 -> 6.068771e-01   | 
<s>            | een            | 0.0127262575552-> 9.873544e-01   | 
een            | triple         | 1.31998031065e-05-> 9.999868e-01   | 
triple         | <UNK>          | 0.0146998390555-> 9.854077e-01   | 
<UNK>          | daarvan        | 1.24602720462e-05-> 9.999875e-01   | 
daarvan        | wordt          | 0.00140269845724-> 9.985983e-01   | 
wordt          | een            | 0.010657091625 -> 9.893995e-01   | 
een            | amateur        | 1.02081758087e-05-> 9.999898e-01   | 
amateur        | zeer           | 6.94497794029e-05-> 9.999306e-01   | 
zeer           | <UNK>          | 0.0148156965151-> 9.852935e-01   | 
<UNK>          | een            | 0.0114388531074-> 9.886263e-01   | 
een            | professional   | 1.04943665065e-05-> 9.999895e-01   | 
professional   | die            | 0.00317294336855-> 9.968321e-01   | 
die            | het            | 0.00225621834397-> 9.977463e-01   | 
het            | overkomt       | 9.43202212511e-06-> 9.999906e-01   | 
overkomt       | levert         | 9.08209221961e-06-> 9.999909e-01   | 
levert         | zijn           | 0.00768486550078-> 9.923446e-01   | 
zijn           | clubs          | 1.87789300981e-05-> 9.999812e-01   | 
clubs          | in             | 0.00902000255883-> 9.910206e-01   | 
in             | </s>           | 0.00878031086177-> 9.912581e-01   | 
</s>           | <s>            | 0.499520540237 -> 6.068215e-01   | 
<s>            | met            | 0.00375371752307-> 9.962533e-01   | 
met            | <UNK>          | 0.0164652876556-> 9.836695e-01   | 
<UNK>          | boven          | 0.000122679935885-> 9.998773e-01   | 
boven          | par            | 1.07857831608e-05-> 9.999892e-01   | 
par            | zijn           | 0.007525654044 -> 9.925026e-01   | 
zijn           | we             | 0.000660127785522-> 9.993401e-01   | 
we             | bij            | 0.00130931357853-> 9.986916e-01   | 
bij            | <UNK>          | 0.013683449477 -> 9.864097e-01   | 
<UNK>          | </s>           | 0.00809144321829-> 9.919412e-01   | 
</s>           | <s>            | 0.499510169029 -> 6.068279e-01   | 
<s>            | schijnt        | 7.54379061618e-06-> 9.999924e-01   | 
schijnt        | één          | 0.000716553127859-> 9.992837e-01   | 
één          | keer           | 0.000219335226575-> 9.997807e-01   | 
keer           | per            | 7.74521831772e-05-> 9.999226e-01   | 
per            | halve          | 3.06225483655e-05-> 9.999694e-01   | 
halve          | eeuw           | 2.20472575165e-05-> 9.999779e-01   | 
eeuw           | voor           | 0.00368045875803-> 9.963263e-01   | 
voor           | te             | 0.00785724446177-> 9.921736e-01   | 
te             | komen          | 0.000125146965729-> 9.998749e-01   | 
komen          | in             | 0.00909692794085-> 9.909443e-01   | 
in             | het            | 0.0026776753366-> 9.973259e-01   | 
het            | professionele  | 1.53380642587e-05-> 9.999847e-01   | 
professionele  | golf           | 5.87749891565e-05-> 9.999412e-01   | 
golf           | maar           | 0.00176176254172-> 9.982398e-01   | 
maar           | niemand        | 2.98711165669e-05-> 9.999701e-01   | 
niemand        | weet           | 0.000174105167389-> 9.998259e-01   | 
weet           | waar           | 0.000455255329143-> 9.995449e-01   | 
waar           | </s>           | 0.0084432894364-> 9.915922e-01   | 
</s>           | <s>            | 0.499534338713 -> 6.068132e-01   | 
<s>            | bij            | 0.00169851526152-> 9.983029e-01   | 
bij            | analogie       | 7.28627628632e-06-> 9.999927e-01   | 
analogie       | moet           | 0.000812336918898-> 9.991880e-01   | 
moet           | vijf           | 0.00034057663288-> 9.996595e-01   | 
vijf           | boven          | 0.000129579842906-> 9.998704e-01   | 
boven          | par            | 1.07014857349e-05-> 9.999893e-01   | 
par            | dan            | 0.00314033753239-> 9.968646e-01   | 
dan            | een            | 0.0110663836822-> 9.889946e-01   | 
een            | <UNK>          | 0.0182214360684-> 9.819435e-01   | 
<UNK>          | <UNK>          | 0.013930676505 -> 9.861659e-01   | 
<UNK>          | zijn           | 0.00806125253439-> 9.919711e-01   | 
zijn           | </s>           | 0.00670831045136-> 9.933141e-01   | 
</s>           | <s>            | 0.49947604537  -> 6.068485e-01   | 
<s>            | nooit          | 0.000247922405833-> 9.997521e-01   | 
nooit          | tegengekomen   | 1.06294719444e-05-> 9.999894e-01   | 
tegengekomen   | in             | 0.0088559454307-> 9.911832e-01   | 
in             | de             | 0.0751096010208-> 9.276418e-01   | 
de             | vakliteratuur  | 1.86408233276e-05-> 9.999813e-01   | 
vakliteratuur  | </s>           | 0.00858085323125-> 9.914559e-01   | 
</s>           | <s>            | 0.499359190464 -> 6.069195e-01   | 
<s>            | zes            | 0.000120279888506-> 9.998797e-01   | 
zes            | zou            | 0.000775046937633-> 9.992253e-01   | 
zou            | <UNK>          | 0.0156951602548-> 9.844274e-01   | 
<UNK>          | kunnen         | 0.000992487417534-> 9.990080e-01   | 
kunnen         | zijn           | 0.00691509898752-> 9.931087e-01   | 
zijn           | al             | 0.0012225122191-> 9.987782e-01   | 
al             | doet           | 0.000150164720253-> 9.998499e-01   | 
doet           | dat            | 0.00601284159347-> 9.940052e-01   | 
dat            | meer           | 0.00131030078046-> 9.986905e-01   | 
meer           | denken         | 2.20954680117e-05-> 9.999779e-01   | 
denken         | aan            | 0.0023302633781-> 9.976724e-01   | 
aan            | een            | 0.0125609757379-> 9.875176e-01   | 
een            | goedkope       | 1.13959195005e-05-> 9.999886e-01   | 
goedkope       | gore           | 1.40491238199e-05-> 9.999859e-01   | 
gore           | tent           | 2.55961313087e-05-> 9.999744e-01   | 
tent           | in             | 0.00899679772556-> 9.910436e-01   | 
in             | Soho           | 4.27665963798e-06-> 9.999957e-01   | 
Soho           | </s>           | 0.00811733491719-> 9.919155e-01   | 
</s>           | <s>            | 0.499534219503 -> 6.068133e-01   | 
<s>            | en             | 0.00550170987844-> 9.945134e-01   | 
en             | dan            | 0.00220165797509-> 9.978008e-01   | 
dan            | zijn           | 0.0067155812867-> 9.933069e-01   | 
