<s>             | dit             | topic 56       topic 37       topic 34       topic 60       
dit             | weekend         | topic 37       topic 48       topic 49       topic 63       
weekend         | wordt           | topic 56       topic 37       topic 34       topic 60       
wordt           | op              | topic 34       topic 56       topic 37       topic 60       
op              | <UNK>           | topic 34       topic 37       topic 56       topic 63       
<UNK>           | de              | topic 63       topic 34       topic 56       topic 2        
de              | British         | topic 56       topic 48       topic 61       topic 37       
British         | Open            | topic 48       topic 56       topic 61       topic 37       
Open            | gespeeld        | topic 63       topic 2        topic 56       topic 60       
gespeeld        | </s>            | topic 63       topic 60       topic 2        topic 34       
<s>             | en              | topic 56       topic 37       topic 34       topic 60       
en              | noteer          | topic 56       topic 37       topic 34       topic 61       
noteer          | voor            | topic 37       topic 56       topic 63       topic 34       
voor            | september       | topic 37       topic 34       topic 56       topic 61       
september       | alvast          | topic 63       topic 56       topic 37       topic 34       
alvast          | de              | topic 34       topic 56       topic 37       topic 48       
de              | Ryder           | topic 56       topic 48       topic 61       topic 37       
Ryder           | Cup             | topic 34       topic 56       topic 63       topic 37       
Cup             | </s>            | topic 63       topic 34       topic 56       topic 60       
<s>             | sport           | topic 56       topic 37       topic 34       topic 60       
sport           | </s>            | topic 63       topic 37       topic 2        topic 56       
<s>             | nooit           | topic 56       topic 37       topic 34       topic 60       
nooit           | geweten         | topic 56       topic 61       topic 37       topic 48       
geweten         | dat             | topic 63       topic 37       topic 46       topic 56       
dat             | het             | topic 37       topic 34       topic 56       topic 46       
het             | woord           | topic 56       topic 37       topic 48       topic 61       
woord           | bestond         | topic 56       topic 37       topic 34       topic 48       
bestond         | </s>            | topic 63       topic 37       topic 56       topic 34       
<s>             | dat             | topic 56       topic 37       topic 34       topic 46       
dat             | is              | topic 37       topic 48       topic 56       topic 34       
is              | één           | topic 34       topic 56       topic 37       topic 26       
één           | boven           | topic 56       topic 63       topic 37       topic 61       
boven           | par             | topic 37       topic 34       topic 63       topic 56       
par             | en              | topic 63       topic 56       topic 37       topic 2        
en              | voor            | topic 56       topic 37       topic 34       topic 61       
voor            | een             | topic 37       topic 34       topic 56       topic 63       
een             | professional    | topic 56       topic 61       topic 37       topic 48       
professional    | is              | topic 63       topic 34       topic 37       topic 56       
is              | dat             | topic 34       topic 63       topic 56       topic 37       
dat             | een             | topic 37       topic 34       topic 56       topic 46       
een             | zware           | topic 56       topic 37       topic 61       topic 48       
zware           | misser          | topic 56       topic 61       topic 28       topic 48       
