job started
Epoch: 1 Learning rate: 1.000
0.000 perplexity: 49643.135 speed: 624 wps
0.001 perplexity: 6674.408 speed: 1095 wps
0.002 perplexity: 3349.363 speed: 1087 wps
0.003 perplexity: 2330.963 speed: 1096 wps
0.004 perplexity: 1831.898 speed: 1093 wps
0.005 perplexity: 1554.207 speed: 1091 wps
0.006 perplexity: 1388.571 speed: 1080 wps
0.007 perplexity: 1263.943 speed: 1071 wps
0.008 perplexity: 1177.980 speed: 1064 wps
0.009 perplexity: 1103.768 speed: 1070 wps
0.010 perplexity: 1045.157 speed: 837 wps
0.011 perplexity: 996.807 speed: 857 wps
0.012 perplexity: 955.357 speed: 872 wps
0.013 perplexity: 919.291 speed: 885 wps
0.014 perplexity: 886.900 speed: 894 wps
0.015 perplexity: 858.796 speed: 906 wps
0.016 perplexity: 833.467 speed: 914 wps
0.017 perplexity: 809.365 speed: 921 wps
0.018 perplexity: 790.501 speed: 933 wps
0.019 perplexity: 773.353 speed: 940 wps
0.020 perplexity: 756.585 speed: 949 wps
0.021 perplexity: 741.043 speed: 955 wps
0.022 perplexity: 727.777 speed: 960 wps
0.023 perplexity: 714.164 speed: 878 wps
0.024 perplexity: 701.442 speed: 885 wps
0.025 perplexity: 689.793 speed: 892 wps
0.026 perplexity: 678.938 speed: 899 wps
0.027 perplexity: 669.977 speed: 907 wps
0.028 perplexity: 661.074 speed: 912 wps
0.029 perplexity: 651.953 speed: 917 wps
0.030 perplexity: 643.405 speed: 923 wps
0.031 perplexity: 635.346 speed: 928 wps
0.032 perplexity: 627.740 speed: 932 wps
0.033 perplexity: 620.995 speed: 938 wps
0.034 perplexity: 614.539 speed: 940 wps
0.035 perplexity: 607.706 speed: 943 wps
0.036 perplexity: 601.488 speed: 946 wps
0.037 perplexity: 594.762 speed: 952 wps
0.038 perplexity: 588.631 speed: 954 wps
0.039 perplexity: 583.029 speed: 956 wps
0.040 perplexity: 577.934 speed: 957 wps
0.041 perplexity: 572.987 speed: 959 wps
0.042 perplexity: 568.543 speed: 960 wps
0.043 perplexity: 563.705 speed: 961 wps
0.044 perplexity: 559.190 speed: 964 wps
0.045 perplexity: 554.220 speed: 965 wps
0.046 perplexity: 549.708 speed: 966 wps
0.047 perplexity: 545.620 speed: 967 wps
0.048 perplexity: 541.472 speed: 967 wps
0.049 perplexity: 537.474 speed: 969 wps
0.050 perplexity: 534.207 speed: 969 wps
0.051 perplexity: 530.834 speed: 970 wps
0.052 perplexity: 526.957 speed: 970 wps
0.053 perplexity: 523.519 speed: 972 wps
0.054 perplexity: 520.094 speed: 972 wps
0.055 perplexity: 516.795 speed: 973 wps
0.056 perplexity: 513.830 speed: 974 wps
0.057 perplexity: 510.549 speed: 974 wps
0.058 perplexity: 507.238 speed: 975 wps
0.059 perplexity: 504.281 speed: 975 wps
0.060 perplexity: 501.539 speed: 975 wps
0.061 perplexity: 498.785 speed: 976 wps
0.062 perplexity: 496.343 speed: 976 wps
0.063 perplexity: 493.700 speed: 977 wps
0.064 perplexity: 491.288 speed: 977 wps
0.065 perplexity: 488.830 speed: 977 wps
0.066 perplexity: 486.076 speed: 978 wps
0.067 perplexity: 483.486 speed: 978 wps
0.068 perplexity: 481.328 speed: 977 wps
0.069 perplexity: 479.050 speed: 978 wps
0.070 perplexity: 476.744 speed: 978 wps
0.071 perplexity: 474.402 speed: 979 wps
0.072 perplexity: 472.240 speed: 979 wps
0.073 perplexity: 470.067 speed: 979 wps
0.074 perplexity: 468.175 speed: 979 wps
0.075 perplexity: 466.111 speed: 980 wps
0.076 perplexity: 464.246 speed: 980 wps
0.077 perplexity: 462.318 speed: 980 wps
0.078 perplexity: 460.565 speed: 981 wps
0.079 perplexity: 458.703 speed: 982 wps
0.080 perplexity: 457.005 speed: 983 wps
0.081 perplexity: 455.267 speed: 983 wps
0.082 perplexity: 453.652 speed: 984 wps
0.083 perplexity: 451.990 speed: 984 wps
0.084 perplexity: 450.415 speed: 984 wps
0.085 perplexity: 449.002 speed: 984 wps
0.086 perplexity: 447.479 speed: 984 wps
0.087 perplexity: 446.102 speed: 984 wps
0.088 perplexity: 444.709 speed: 984 wps
0.089 perplexity: 443.257 speed: 984 wps
0.090 perplexity: 441.764 speed: 984 wps
0.091 perplexity: 440.259 speed: 985 wps
0.092 perplexity: 438.718 speed: 986 wps
0.093 perplexity: 437.248 speed: 986 wps
0.094 perplexity: 435.783 speed: 986 wps
0.095 perplexity: 434.531 speed: 987 wps
0.096 perplexity: 433.246 speed: 987 wps
0.097 perplexity: 431.969 speed: 987 wps
0.098 perplexity: 430.787 speed: 988 wps
0.099 perplexity: 429.568 speed: 988 wps
0.100 perplexity: 428.159 speed: 988 wps
0.101 perplexity: 426.750 speed: 988 wps
0.102 perplexity: 425.588 speed: 988 wps
0.103 perplexity: 424.363 speed: 988 wps
0.104 perplexity: 423.110 speed: 989 wps
0.105 perplexity: 421.951 speed: 990 wps
0.106 perplexity: 420.776 speed: 990 wps
0.107 perplexity: 419.714 speed: 990 wps
0.108 perplexity: 418.560 speed: 989 wps
0.109 perplexity: 417.448 speed: 989 wps
0.110 perplexity: 416.388 speed: 989 wps
0.111 perplexity: 415.488 speed: 989 wps
0.112 perplexity: 414.549 speed: 989 wps
0.113 perplexity: 413.507 speed: 989 wps
0.114 perplexity: 412.540 speed: 990 wps
0.115 perplexity: 411.542 speed: 989 wps
0.116 perplexity: 410.520 speed: 990 wps
0.117 perplexity: 409.400 speed: 990 wps
0.118 perplexity: 408.311 speed: 990 wps
0.119 perplexity: 407.252 speed: 991 wps
0.120 perplexity: 406.282 speed: 991 wps
0.121 perplexity: 405.332 speed: 992 wps
0.122 perplexity: 404.519 speed: 992 wps
0.123 perplexity: 403.514 speed: 992 wps
0.124 perplexity: 402.482 speed: 992 wps
0.125 perplexity: 401.590 speed: 993 wps
0.126 perplexity: 400.824 speed: 993 wps
0.127 perplexity: 399.938 speed: 993 wps
0.128 perplexity: 399.109 speed: 993 wps
0.129 perplexity: 398.280 speed: 993 wps
0.130 perplexity: 397.357 speed: 993 wps
0.131 perplexity: 396.460 speed: 993 wps
0.132 perplexity: 395.684 speed: 994 wps
0.133 perplexity: 394.772 speed: 994 wps
0.134 perplexity: 393.958 speed: 994 wps
0.135 perplexity: 393.253 speed: 994 wps
0.136 perplexity: 392.569 speed: 995 wps
0.137 perplexity: 391.793 speed: 995 wps
0.138 perplexity: 390.973 speed: 995 wps
