<s>             | dit             | topic 50       topic 428      topic 187      topic 242      
dit             | weekend         | topic 187      topic 428      topic 225      topic 176      
weekend         | wordt           | topic 428      topic 187      topic 176      topic 242      
wordt           | op              | topic 428      topic 187      topic 176      topic 242      
op              | <UNK>           | topic 428      topic 43       topic 440      topic 206      
<UNK>           | de              | topic 428      topic 187      topic 178      topic 225      
de              | British         | topic 428      topic 43       topic 86       topic 468      
British         | Open            | topic 468      topic 189      topic 240      topic 129      
Open            | gespeeld        | topic 468      topic 428      topic 263      topic 60       
gespeeld        | </s>            | topic 187      topic 428      topic 242      topic 225      
<s>             | en              | topic 428      topic 50       topic 187      topic 468      
en              | noteer          | topic 187      topic 242      topic 176      topic 303      
noteer          | voor            | topic 187      topic 242      topic 176      topic 33       
voor            | september       | topic 428      topic 468      topic 50       topic 423      
september       | alvast          | topic 428      topic 187      topic 176      topic 263      
alvast          | de              | topic 428      topic 187      topic 176      topic 442      
de              | Ryder           | topic 428      topic 468      topic 43       topic 148      
Ryder           | Cup             | topic 468      topic 439      topic 187      topic 428      
Cup             | </s>            | topic 245      topic 428      topic 202      topic 187      
<s>             | sport           | topic 50       topic 202      topic 245      topic 428      
sport           | </s>            | topic 428      topic 245      topic 1        topic 468      
<s>             | nooit           | topic 428      topic 50       topic 245      topic 202      
nooit           | geweten         | topic 187      topic 428      topic 176      topic 254      
geweten         | dat             | topic 187      topic 176      topic 242      topic 205      
dat             | het             | topic 187      topic 265      topic 245      topic 59       
het             | woord           | topic 1        topic 330      topic 374      topic 187      
woord           | bestond         | topic 187      topic 1        topic 73       topic 176      
bestond         | </s>            | topic 187      topic 1        topic 242      topic 73       
<s>             | dat             | topic 187      topic 242      topic 176      topic 73       
dat             | is              | topic 187      topic 73       topic 242      topic 1        
is              | één           | topic 187      topic 1        topic 242      topic 73       
één           | boven           | topic 296      topic 164      topic 428      topic 203      
boven           | par             | topic 428      topic 203      topic 187      topic 289      
par             | en              | topic 428      topic 323      topic 49       topic 197      
en              | voor            | topic 428      topic 187      topic 242      topic 289      
voor            | een             | topic 428      topic 203      topic 245      topic 1        
een             | professional    | topic 428      topic 245      topic 86       topic 203      
professional    | is              | topic 187      topic 242      topic 251      topic 289      
is              | dat             | topic 187      topic 428      topic 242      topic 1        
dat             | een             | topic 428      topic 187      topic 1        topic 242      
een             | zware           | topic 428      topic 245      topic 86       topic 444      
zware           | misser          | topic 86       topic 428      topic 245      topic 2        
misser          | </s>            | topic 187      topic 242      topic 404      topic 205      
<s>             | een             | topic 187      topic 242      topic 289      topic 176      
een             | double          | topic 428      topic 245      topic 444      topic 86       
double          | <UNK>           | topic 245      topic 444      topic 369      topic 86       
<UNK>           | ja              | topic 187      topic 428      topic 245      topic 289      
ja              | </s>            | topic 187      topic 242      topic 176      topic 428      
<s>             | twee            | topic 187      topic 242      topic 176      topic 245      
twee            | boven           | topic 428      topic 245      topic 164      topic 384      
boven           | paragraaf       | topic 428      topic 245      topic 187      topic 289      
paragraaf       | </s>            | topic 428      topic 164      topic 187      topic 245      
<s>             | courante        | topic 428      topic 50       topic 245      topic 49       
courante        | praktijk        | topic 164      topic 428      topic 498      topic 86       
praktijk        | voor            | topic 428      topic 164      topic 275      topic 289      
voor            | een             | topic 428      topic 245      topic 50       topic 203      
een             | amateur         | topic 428      topic 164      topic 245      topic 444      
amateur         | voor            | topic 187      topic 1        topic 275      topic 289      
voor            | een             | topic 428      topic 245      topic 1        topic 203      
een             | professional    | topic 428      topic 245      topic 164      topic 444      
professional    | een             | topic 187      topic 86       topic 1        topic 289      
een             | catastrofe      | topic 428      topic 245      topic 86       topic 164      
catastrofe      | </s>            | topic 187      topic 242      topic 404      topic 440      
<s>             | een             | topic 428      topic 187      topic 289      topic 1        
een             | triple          | topic 428      topic 86       topic 245      topic 164      
triple          | <UNK>           | topic 86       topic 498      topic 245      topic 444      
<UNK>           | daarvan         | topic 428      topic 289      topic 245      topic 86       
daarvan         | wordt           | topic 428      topic 1        topic 289      topic 187      
wordt           | een             | topic 428      topic 1        topic 444      topic 245      
een             | amateur         | topic 428      topic 86       topic 245      topic 444      
amateur         | zeer            | topic 187      topic 428      topic 251      topic 242      
zeer            | <UNK>           | topic 205      topic 428      topic 187      topic 251      
<UNK>           | een             | topic 187      topic 242      topic 1        topic 251      
een             | professional    | topic 428      topic 86       topic 245      topic 444      
professional    | die             | topic 187      topic 242      topic 251      topic 440      
die             | het             | topic 187      topic 1        topic 242      topic 289      
het             | overkomt        | topic 1        topic 440      topic 289      topic 225      
overkomt        | levert          | topic 187      topic 242      topic 1        topic 440      
levert          | zijn            | topic 1        topic 428      topic 86       topic 104      
zijn            | clubs           | topic 428      topic 86       topic 1        topic 104      
clubs           | in              | topic 1        topic 187      topic 428      topic 242      
in              | </s>            | topic 428      topic 203      topic 1        topic 86       
<s>             | met             | topic 428      topic 1        topic 289      topic 187      
met             | <UNK>           | topic 428      topic 1        topic 49       topic 245      
<UNK>           | boven           | topic 1        topic 428      topic 86       topic 490      
boven           | par             | topic 428      topic 1        topic 245      topic 203      
par             | zijn            | topic 323      topic 421      topic 1        topic 86       
zijn            | we              | topic 428      topic 86       topic 1        topic 245      
we              | bij             | topic 428      topic 1        topic 187      topic 86       
bij             | <UNK>           | topic 428      topic 393      topic 419      topic 1        
<UNK>           | </s>            | topic 1        topic 86       topic 289      topic 428      
<s>             | schijnt         | topic 428      topic 289      topic 86       topic 187      
schijnt         | één           | topic 187      topic 1        topic 242      topic 73       
één           | keer            | topic 164      topic 428      topic 296      topic 245      
keer            | per             | topic 428      topic 444      topic 404      topic 289      
per             | halve           | topic 428      topic 490      topic 2        topic 245      
halve           | eeuw            | topic 153      topic 245      topic 86       topic 444      
eeuw            | voor            | topic 404      topic 187      topic 164      topic 428      
voor            | te              | topic 428      topic 203      topic 1        topic 245      
te              | komen           | topic 1        topic 86       topic 187      topic 490      
komen           | in              | topic 187      topic 242      topic 1        topic 404      
in              | het             | topic 428      topic 203      topic 1        topic 197      
het             | professionele   | topic 1        topic 330      topic 374      topic 75       
