<s>             | dit             | topic 251      topic 303      topic 442      topic 433      
dit             | weekend         | topic 52       topic 164      topic 84       topic 281      
weekend         | wordt           | topic 81       topic 84       topic 281      topic 251      
wordt           | op              | topic 251      topic 81       topic 442      topic 225      
op              | <UNK>           | topic 428      topic 225      topic 457      topic 455      
<UNK>           | de              | topic 50       topic 251      topic 81       topic 297      
de              | British         | topic 297      topic 134      topic 159      topic 369      
British         | Open            | topic 297      topic 468      topic 358      topic 37       
Open            | gespeeld        | topic 297      topic 50       topic 455      topic 225      
gespeeld        | </s>            | topic 50       topic 251      topic 225      topic 94       
<s>             | en              | topic 251      topic 225      topic 297      topic 442      
en              | noteer          | topic 251      topic 303      topic 242      topic 442      
noteer          | voor            | topic 242      topic 187      topic 251      topic 303      
voor            | september       | topic 455      topic 225      topic 251      topic 281      
september       | alvast          | topic 50       topic 225      topic 455      topic 263      
alvast          | de              | topic 251      topic 433      topic 442      topic 225      
de              | Ryder           | topic 134      topic 297      topic 159      topic 290      
Ryder           | Cup             | topic 50       topic 297      topic 251      topic 225      
Cup             | </s>            | topic 50       topic 251      topic 225      topic 455      
<s>             | sport           | topic 251      topic 297      topic 225      topic 433      
sport           | </s>            | topic 251      topic 50       topic 281      topic 433      
<s>             | nooit           | topic 297      topic 251      topic 225      topic 455      
nooit           | geweten         | topic 433      topic 50       topic 281      topic 81       
geweten         | dat             | topic 50       topic 242      topic 251      topic 303      
dat             | het             | topic 303      topic 251      topic 187      topic 242      
het             | woord           | topic 289      topic 433      topic 251      topic 84       
woord           | bestond         | topic 433      topic 251      topic 84       topic 281      
bestond         | </s>            | topic 50       topic 251      topic 433      topic 218      
<s>             | dat             | topic 251      topic 303      topic 242      topic 433      
dat             | is              | topic 187      topic 303      topic 251      topic 84       
is              | één           | topic 440      topic 251      topic 303      topic 433      
één           | boven           | topic 164      topic 50       topic 225      topic 507      
boven           | par             | topic 225      topic 94       topic 50       topic 455      
par             | en              | topic 297      topic 267      topic 159      topic 50       
en              | voor            | topic 297      topic 251      topic 267      topic 159      
voor            | een             | topic 251      topic 455      topic 225      topic 297      
een             | professional    | topic 159      topic 267      topic 297      topic 134      
professional    | is              | topic 50       topic 251      topic 225      topic 433      
is              | dat             | topic 251      topic 50       topic 433      topic 440      
dat             | een             | topic 251      topic 303      topic 242      topic 187      
een             | zware           | topic 159      topic 267      topic 50       topic 297      
zware           | misser          | topic 159      topic 297      topic 134      topic 267      
misser          | </s>            | topic 50       topic 251      topic 433      topic 225      
<s>             | een             | topic 251      topic 303      topic 242      topic 433      
een             | double          | topic 159      topic 267      topic 297      topic 134      
double          | <UNK>           | topic 297      topic 159      topic 267      topic 251      
<UNK>           | ja              | topic 251      topic 50       topic 225      topic 433      
ja              | </s>            | topic 251      topic 50       topic 303      topic 242      
<s>             | twee            | topic 303      topic 242      topic 251      topic 187      
twee            | boven           | topic 164      topic 428      topic 134      topic 297      
boven           | paragraaf       | topic 428      topic 225      topic 455      topic 50       
paragraaf       | </s>            | topic 428      topic 50       topic 225      topic 60       
<s>             | courante        | topic 251      topic 297      topic 428      topic 225      
courante        | praktijk        | topic 297      topic 50       topic 134      topic 159      
praktijk        | voor            | topic 50       topic 251      topic 225      topic 281      
voor            | een             | topic 50       topic 455      topic 281      topic 297      
een             | amateur         | topic 134      topic 50       topic 164      topic 62       
amateur         | voor            | topic 50       topic 251      topic 225      topic 455      
voor            | een             | topic 455      topic 50       topic 251      topic 225      
een             | professional    | topic 159      topic 50       topic 134      topic 297      
professional    | een             | topic 50       topic 251      topic 225      topic 433      
een             | catastrofe      | topic 159      topic 50       topic 267      topic 134      
catastrofe      | </s>            | topic 50       topic 251      topic 225      topic 94       
<s>             | een             | topic 251      topic 303      topic 433      topic 225      
een             | triple          | topic 159      topic 134      topic 267      topic 297      
triple          | <UNK>           | topic 297      topic 159      topic 267      topic 251      
<UNK>           | daarvan         | topic 251      topic 50       topic 225      topic 433      
daarvan         | wordt           | topic 251      topic 50       topic 225      topic 84       
wordt           | een             | topic 251      topic 433      topic 442      topic 225      
een             | amateur         | topic 159      topic 134      topic 369      topic 297      
amateur         | zeer            | topic 50       topic 251      topic 225      topic 159      
zeer            | <UNK>           | topic 159      topic 440      topic 50       topic 382      
<UNK>           | een             | topic 50       topic 251      topic 225      topic 433      
een             | professional    | topic 159      topic 50       topic 267      topic 134      
professional    | die             | topic 50       topic 251      topic 225      topic 433      
die             | het             | topic 251      topic 433      topic 303      topic 242      
het             | overkomt        | topic 433      topic 159      topic 251      topic 440      
overkomt        | levert          | topic 50       topic 251      topic 433      topic 303      
levert          | zijn            | topic 251      topic 50       topic 433      topic 303      
zijn            | clubs           | topic 159      topic 267      topic 50       topic 251      
clubs           | in              | topic 433      topic 251      topic 50       topic 225      
