<s>             | dit             | topic 428      topic 50       topic 187      topic 362      
dit             | weekend         | topic 103      topic 225      topic 281      topic 362      
weekend         | wordt           | topic 428      topic 187      topic 507      topic 60       
wordt           | op              | topic 428      topic 362      topic 419      topic 187      
op              | <UNK>           | topic 428      topic 344      topic 263      topic 43       
<UNK>           | de              | topic 428      topic 263      topic 225      topic 507      
de              | British         | topic 428      topic 43       topic 86       topic 356      
British         | Open            | topic 468      topic 358      topic 37       topic 240      
Open            | gespeeld        | topic 468      topic 358      topic 37       topic 274      
gespeeld        | </s>            | topic 428      topic 468      topic 263      topic 187      
<s>             | en              | topic 428      topic 468      topic 49       topic 347      
en              | noteer          | topic 242      topic 187      topic 176      topic 33       
noteer          | voor            | topic 242      topic 187      topic 176      topic 33       
voor            | september       | topic 428      topic 468      topic 242      topic 50       
september       | alvast          | topic 428      topic 263      topic 187      topic 468      
alvast          | de              | topic 428      topic 263      topic 468      topic 187      
de              | Ryder           | topic 428      topic 468      topic 43       topic 86       
Ryder           | Cup             | topic 358      topic 468      topic 86       topic 245      
Cup             | </s>            | topic 245      topic 265      topic 203      topic 202      
<s>             | sport           | topic 265      topic 245      topic 202      topic 49       
sport           | </s>            | topic 245      topic 265      topic 202      topic 428      
<s>             | nooit           | topic 428      topic 245      topic 265      topic 202      
nooit           | geweten         | topic 187      topic 242      topic 289      topic 176      
geweten         | dat             | topic 187      topic 242      topic 176      topic 289      
dat             | het             | topic 265      topic 187      topic 245      topic 242      
het             | woord           | topic 330      topic 289      topic 225      topic 440      
woord           | bestond         | topic 187      topic 225      topic 242      topic 289      
bestond         | </s>            | topic 187      topic 242      topic 440      topic 303      
<s>             | dat             | topic 187      topic 242      topic 265      topic 428      
dat             | is              | topic 187      topic 242      topic 265      topic 73       
is              | één           | topic 428      topic 242      topic 187      topic 265      
één           | boven           | topic 428      topic 164      topic 296      topic 245      
boven           | par             | topic 428      topic 245      topic 49       topic 197      
par             | en              | topic 428      topic 245      topic 86       topic 49       
en              | voor            | topic 428      topic 245      topic 86       topic 444      
voor            | een             | topic 428      topic 245      topic 202      topic 49       
een             | professional    | topic 428      topic 245      topic 164      topic 91       
professional    | is              | topic 187      topic 225      topic 242      topic 245      
is              | dat             | topic 428      topic 187      topic 242      topic 245      
dat             | een             | topic 428      topic 242      topic 49       topic 187      
een             | zware           | topic 428      topic 75       topic 245      topic 164      
zware           | misser          | topic 86       topic 490      topic 203      topic 349      
misser          | </s>            | topic 187      topic 242      topic 404      topic 289      
<s>             | een             | topic 265      topic 49       topic 245      topic 202      
een             | double          | topic 428      topic 245      topic 91       topic 490      
double          | <UNK>           | topic 428      topic 245      topic 86       topic 444      
<UNK>           | ja              | topic 428      topic 245      topic 202      topic 265      
ja              | </s>            | topic 187      topic 242      topic 176      topic 303      
<s>             | twee            | topic 187      topic 242      topic 73       topic 265      
twee            | boven           | topic 428      topic 296      topic 164      topic 245      
boven           | paragraaf       | topic 428      topic 245      topic 49       topic 202      
paragraaf       | </s>            | topic 428      topic 245      topic 187      topic 60       
<s>             | courante        | topic 428      topic 50       topic 49       topic 245      
courante        | praktijk        | topic 428      topic 245      topic 153      topic 164      
