<s>             | dit             | topic 251      topic 297      topic 281      topic 225      
dit             | weekend         | topic 164      topic 52       topic 84       topic 281      
weekend         | wordt           | topic 251      topic 81       topic 281      topic 225      
wordt           | op              | topic 81       topic 251      topic 225      topic 442      
op              | <UNK>           | topic 455      topic 225      topic 263      topic 281      
<UNK>           | de              | topic 297      topic 225      topic 251      topic 281      
de              | British         | topic 134      topic 159      topic 50       topic 297      
British         | Open            | topic 50       topic 468      topic 134      topic 358      
Open            | gespeeld        | topic 297      topic 50       topic 134      topic 251      
gespeeld        | </s>            | topic 297      topic 251      topic 225      topic 218      
<s>             | en              | topic 251      topic 225      topic 455      topic 81       
en              | noteer          | topic 251      topic 81       topic 225      topic 442      
noteer          | voor            | topic 242      topic 303      topic 187      topic 251      
voor            | september       | topic 455      topic 251      topic 225      topic 281      
september       | alvast          | topic 297      topic 225      topic 251      topic 455      
alvast          | de              | topic 251      topic 433      topic 225      topic 442      
de              | Ryder           | topic 134      topic 159      topic 50       topic 455      
Ryder           | Cup             | topic 297      topic 251      topic 225      topic 433      
Cup             | </s>            | topic 297      topic 251      topic 225      topic 218      
<s>             | sport           | topic 251      topic 225      topic 455      topic 433      
sport           | </s>            | topic 251      topic 297      topic 281      topic 433      
<s>             | nooit           | topic 251      topic 225      topic 297      topic 433      
nooit           | geweten         | topic 251      topic 297      topic 433      topic 81       
geweten         | dat             | topic 297      topic 251      topic 281      topic 442      
dat             | het             | topic 303      topic 251      topic 242      topic 187      
het             | woord           | topic 251      topic 433      topic 134      topic 84       
woord           | bestond         | topic 433      topic 251      topic 84       topic 281      
bestond         | </s>            | topic 297      topic 251      topic 433      topic 281      
<s>             | dat             | topic 303      topic 251      topic 242      topic 433      
dat             | is              | topic 303      topic 251      topic 242      topic 187      
is              | één           | topic 440      topic 251      topic 242      topic 303      
één           | boven           | topic 164      topic 225      topic 134      topic 297      
boven           | par             | topic 455      topic 225      topic 251      topic 297      
par             | en              | topic 50       topic 134      topic 297      topic 251      
en              | voor            | topic 134      topic 50       topic 251      topic 267      
