<s>             | dit             | topic 303      topic 251      topic 242      topic 433      
dit             | weekend         | topic 52       topic 84       topic 164      topic 433      
weekend         | wordt           | topic 81       topic 84       topic 251      topic 225      
wordt           | op              | topic 81       topic 251      topic 218      topic 225      
op              | <UNK>           | topic 428      topic 225      topic 457      topic 281      
<UNK>           | de              | topic 134      topic 251      topic 159      topic 225      
de              | British         | topic 50       topic 159      topic 134      topic 369      
British         | Open            | topic 468      topic 134      topic 358      topic 159      
Open            | gespeeld        | topic 134      topic 159      topic 225      topic 50       
gespeeld        | </s>            | topic 297      topic 251      topic 94       topic 225      
<s>             | en              | topic 251      topic 225      topic 433      topic 134      
en              | noteer          | topic 251      topic 303      topic 242      topic 451      
noteer          | voor            | topic 242      topic 187      topic 303      topic 81       
voor            | september       | topic 455      topic 251      topic 225      topic 281      
september       | alvast          | topic 297      topic 225      topic 218      topic 251      
alvast          | de              | topic 433      topic 297      topic 251      topic 442      
de              | Ryder           | topic 50       topic 159      topic 134      topic 297      
Ryder           | Cup             | topic 134      topic 297      topic 251      topic 225      
Cup             | </s>            | topic 297      topic 251      topic 134      topic 225      
<s>             | sport           | topic 251      topic 225      topic 303      topic 134      
sport           | </s>            | topic 281      topic 251      topic 84       topic 442      
<s>             | nooit           | topic 251      topic 303      topic 134      topic 225      
nooit           | geweten         | topic 176      topic 440      topic 187      topic 382      
geweten         | dat             | topic 187      topic 297      topic 303      topic 251      
dat             | het             | topic 303      topic 187      topic 251      topic 242      
het             | woord           | topic 251      topic 433      topic 440      topic 289      
woord           | bestond         | topic 251      topic 433      topic 84       topic 267      
bestond         | </s>            | topic 297      topic 251      topic 84       topic 433      
<s>             | dat             | topic 303      topic 251      topic 242      topic 187      
dat             | is              | topic 187      topic 303      topic 242      topic 84       
is              | één           | topic 440      topic 242      topic 303      topic 251      
één           | boven           | topic 164      topic 297      topic 139      topic 134      
boven           | par             | topic 225      topic 455      topic 94       topic 251      
par             | en              | topic 134      topic 297      topic 251      topic 267      
en              | voor            | topic 251      topic 134      topic 267      topic 159      
voor            | een             | topic 251      topic 455      topic 225      topic 303      
een             | professional    | topic 159      topic 134      topic 297      topic 267      
professional    | is              | topic 297      topic 251      topic 134      topic 433      
is              | dat             | topic 251      topic 297      topic 433      topic 440      
dat             | een             | topic 303      topic 187      topic 251      topic 242      
een             | zware           | topic 159      topic 297      topic 251      topic 50       
zware           | misser          | topic 159      topic 50       topic 297      topic 134      
misser          | </s>            | topic 297      topic 251      topic 225      topic 433      
<s>             | een             | topic 303      topic 242      topic 251      topic 187      
