<s>             | dit             | topic 50       topic 428      topic 297      topic 187      
dit             | weekend         | topic 103      topic 164      topic 330      topic 214      
weekend         | wordt           | topic 428      topic 187      topic 362      topic 245      
wordt           | op              | topic 428      topic 362      topic 398      topic 430      
op              | <UNK>           | topic 428      topic 43       topic 197      topic 423      
<UNK>           | de              | topic 428      topic 178      topic 263      topic 362      
de              | British         | topic 428      topic 148      topic 153      topic 86       
British         | Open            | topic 468      topic 358      topic 240      topic 189      
Open            | gespeeld        | topic 468      topic 197      topic 358      topic 245      
gespeeld        | </s>            | topic 265      topic 197      topic 202      topic 245      
<s>             | en              | topic 50       topic 265      topic 202      topic 245      
en              | noteer          | topic 202      topic 265      topic 245      topic 59       
noteer          | voor            | topic 187      topic 176      topic 242      topic 265      
voor            | september       | topic 265      topic 245      topic 428      topic 59       
september       | alvast          | topic 428      topic 197      topic 263      topic 203      
alvast          | de              | topic 468      topic 265      topic 428      topic 197      
de              | Ryder           | topic 428      topic 203      topic 153      topic 456      
Ryder           | Cup             | topic 202      topic 307      topic 265      topic 358      
Cup             | </s>            | topic 197      topic 245      topic 202      topic 468      
<s>             | sport           | topic 202      topic 245      topic 265      topic 59       
sport           | </s>            | topic 245      topic 197      topic 428      topic 202      
<s>             | nooit           | topic 50       topic 245      topic 59       topic 202      
nooit           | geweten         | topic 245      topic 153      topic 197      topic 444      
geweten         | dat             | topic 202      topic 265      topic 245      topic 187      
dat             | het             | topic 59       topic 265      topic 202      topic 245      
het             | woord           | topic 265      topic 1        topic 456      topic 197      
woord           | bestond         | topic 197      topic 1        topic 245      topic 59       
bestond         | </s>            | topic 187      topic 59       topic 1        topic 202      
<s>             | dat             | topic 202      topic 245      topic 265      topic 59       
dat             | is              | topic 202      topic 59       topic 265      topic 245      
is              | één           | topic 202      topic 265      topic 59       topic 197      
één           | boven           | topic 245      topic 164      topic 490      topic 296      
boven           | par             | topic 428      topic 245      topic 164      topic 187      
par             | en              | topic 245      topic 187      topic 176      topic 202      
en              | voor            | topic 245      topic 187      topic 428      topic 202      
voor            | een             | topic 428      topic 197      topic 245      topic 265      
een             | professional    | topic 245      topic 456      topic 444      topic 490      
professional    | is              | topic 187      topic 245      topic 73       topic 202      
is              | dat             | topic 187      topic 265      topic 245      topic 202      
dat             | een             | topic 265      topic 187      topic 202      topic 245      
een             | zware           | topic 245      topic 490      topic 456      topic 444      
zware           | misser          | topic 245      topic 456      topic 490      topic 203      
misser          | </s>            | topic 187      topic 176      topic 242      topic 404      
<s>             | een             | topic 202      topic 265      topic 245      topic 187      
een             | double          | topic 245      topic 444      topic 428      topic 490      
double          | <UNK>           | topic 245      topic 444      topic 187      topic 202      
<UNK>           | ja              | topic 187      topic 245      topic 202      topic 265      
ja              | </s>            | topic 187      topic 242      topic 202      topic 245      
<s>             | twee            | topic 202      topic 187      topic 265      topic 245      
twee            | boven           | topic 245      topic 164      topic 153      topic 428      
boven           | paragraaf       | topic 428      topic 164      topic 245      topic 187      
paragraaf       | </s>            | topic 428      topic 187      topic 245      topic 176      
<s>             | courante        | topic 428      topic 245      topic 202      topic 265      
courante        | praktijk        | topic 245      topic 428      topic 164      topic 153      
praktijk        | voor            | topic 187      topic 245      topic 428      topic 176      
voor            | een             | topic 245      topic 59       topic 265      topic 428      
een             | amateur         | topic 245      topic 456      topic 444      topic 490      
