<s>             | dit             | topic 303      topic 251      topic 242      topic 187      
dit             | weekend         | topic 52       topic 84       topic 164      topic 251      
weekend         | wordt           | topic 81       topic 251      topic 281      topic 84       
wordt           | op              | topic 251      topic 81       topic 225      topic 433      
op              | <UNK>           | topic 225      topic 281      topic 455      topic 457      
<UNK>           | de              | topic 297      topic 251      topic 225      topic 281      
de              | British         | topic 50       topic 134      topic 455      topic 159      
British         | Open            | topic 468      topic 50       topic 134      topic 240      
Open            | gespeeld        | topic 50       topic 159      topic 297      topic 225      
gespeeld        | </s>            | topic 297      topic 251      topic 225      topic 218      
<s>             | en              | topic 251      topic 225      topic 455      topic 442      
en              | noteer          | topic 251      topic 303      topic 242      topic 442      
noteer          | voor            | topic 242      topic 187      topic 303      topic 251      
voor            | september       | topic 251      topic 455      topic 225      topic 281      
september       | alvast          | topic 225      topic 297      topic 251      topic 455      
alvast          | de              | topic 251      topic 297      topic 433      topic 442      
de              | Ryder           | topic 50       topic 134      topic 290      topic 159      
Ryder           | Cup             | topic 297      topic 251      topic 225      topic 50       
Cup             | </s>            | topic 297      topic 251      topic 159      topic 225      
<s>             | sport           | topic 251      topic 303      topic 50       topic 225      
sport           | </s>            | topic 281      topic 251      topic 297      topic 84       
<s>             | nooit           | topic 251      topic 303      topic 50       topic 242      
nooit           | geweten         | topic 187      topic 251      topic 176      topic 297      
geweten         | dat             | topic 297      topic 251      topic 242      topic 187      
dat             | het             | topic 303      topic 187      topic 242      topic 251      
het             | woord           | topic 50       topic 251      topic 440      topic 433      
woord           | bestond         | topic 251      topic 297      topic 433      topic 84       
bestond         | </s>            | topic 297      topic 251      topic 433      topic 242      
<s>             | dat             | topic 303      topic 242      topic 251      topic 187      
dat             | is              | topic 187      topic 303      topic 242      topic 176      
is              | één           | topic 242      topic 187      topic 440      topic 303      
één           | boven           | topic 164      topic 297      topic 225      topic 159      
boven           | par             | topic 225      topic 297      topic 455      topic 251      
par             | en              | topic 297      topic 50       topic 251      topic 159      
en              | voor            | topic 50       topic 251      topic 455      topic 297      
voor            | een             | topic 251      topic 455      topic 297      topic 225      
een             | professional    | topic 50       topic 297      topic 267      topic 251      
professional    | is              | topic 297      topic 251      topic 433      topic 225      
is              | dat             | topic 297      topic 251      topic 433      topic 303      
dat             | een             | topic 303      topic 242      topic 187      topic 251      
een             | zware           | topic 50       topic 297      topic 267      topic 251      
zware           | misser          | topic 50       topic 134      topic 297      topic 267      
misser          | </s>            | topic 297      topic 251      topic 225      topic 433      
<s>             | een             | topic 303      topic 242      topic 251      topic 187      
een             | double          | topic 50       topic 297      topic 251      topic 267      
double          | <UNK>           | topic 50       topic 251      topic 297      topic 225      
<UNK>           | ja              | topic 251      topic 297      topic 433      topic 225      
ja              | </s>            | topic 242      topic 297      topic 187      topic 303      
<s>             | twee            | topic 303      topic 242      topic 187      topic 251      
twee            | boven           | topic 164      topic 428      topic 159      topic 245      
boven           | paragraaf       | topic 225      topic 251      topic 455      topic 428      
paragraaf       | </s>            | topic 297      topic 251      topic 225      topic 60       
<s>             | courante        | topic 251      topic 303      topic 50       topic 242      
courante        | praktijk        | topic 164      topic 159      topic 428      topic 245      
praktijk        | voor            | topic 297      topic 251      topic 225      topic 281      
voor            | een             | topic 455      topic 297      topic 251      topic 50       
een             | amateur         | topic 50       topic 297      topic 159      topic 267      
amateur         | voor            | topic 297      topic 251      topic 225      topic 159      
voor            | een             | topic 251      topic 455      topic 225      topic 50       
een             | professional    | topic 50       topic 297      topic 251      topic 267      
professional    | een             | topic 297      topic 251      topic 159      topic 225      
een             | catastrofe      | topic 50       topic 297      topic 267      topic 251      
catastrofe      | </s>            | topic 297      topic 251      topic 225      topic 433      
<s>             | een             | topic 303      topic 251      topic 242      topic 433      
een             | triple          | topic 50       topic 297      topic 251      topic 267      
triple          | <UNK>           | topic 225      topic 251      topic 297      topic 50       
<UNK>           | daarvan         | topic 251      topic 297      topic 225      topic 50       
daarvan         | wordt           | topic 251      topic 297      topic 433      topic 225      
wordt           | een             | topic 251      topic 433      topic 297      topic 225      
een             | amateur         | topic 50       topic 297      topic 267      topic 369      
amateur         | zeer            | topic 297      topic 251      topic 433      topic 225      
zeer            | <UNK>           | topic 50       topic 297      topic 440      topic 433      
<UNK>           | een             | topic 297      topic 251      topic 433      topic 225      
een             | professional    | topic 50       topic 297      topic 267      topic 251      
professional    | die             | topic 297      topic 251      topic 433      topic 225      
die             | het             | topic 251      topic 433      topic 297      topic 303      
het             | overkomt        | topic 50       topic 433      topic 251      topic 267      
overkomt        | levert          | topic 297      topic 251      topic 433      topic 84       
levert          | zijn            | topic 297      topic 251      topic 433      topic 225      
zijn            | clubs           | topic 297      topic 251      topic 433      topic 225      
clubs           | in              | topic 297      topic 251      topic 433      topic 225      
in              | </s>            | topic 455      topic 281      topic 225      topic 433      
<s>             | met             | topic 251      topic 303      topic 242      topic 433      
met             | <UNK>           | topic 251      topic 455      topic 225      topic 433      
<UNK>           | boven           | topic 251      topic 297      topic 50       topic 433      
boven           | par             | topic 251      topic 225      topic 455      topic 433      
par             | zijn            | topic 50       topic 251      topic 159      topic 267      
zijn            | we              | topic 251      topic 297      topic 50       topic 433      
we              | bij             | topic 433      topic 251      topic 225      topic 81       
bij             | <UNK>           | topic 251      topic 455      topic 225      topic 433      
<UNK>           | </s>            | topic 297      topic 251      topic 433      topic 225      
<s>             | schijnt         | topic 251      topic 303      topic 242      topic 433      
schijnt         | één           | topic 251      topic 242      topic 187      topic 433      
één           | keer            | topic 164      topic 428      topic 159      topic 50       
keer            | per             | topic 251      topic 297      topic 225      topic 433      
per             | halve           | topic 164      topic 428      topic 50       topic 245      
halve           | eeuw            | topic 245      topic 159      topic 164      topic 428      
eeuw            | voor            | topic 297      topic 251      topic 225      topic 433      
voor            | te              | topic 251      topic 455      topic 225      topic 297      
te              | komen           | topic 188      topic 50       topic 358      topic 134      
komen           | in              | topic 297      topic 251      topic 433      topic 225      
in              | het             | topic 455      topic 225      topic 281      topic 251      
het             | professionele   | topic 50       topic 289      topic 369      topic 267      
professionele   | golf            | topic 50       topic 297      topic 267      topic 159      
golf            | maar            | topic 297      topic 251      topic 225      topic 433      
maar            | niemand         | topic 251      topic 303      topic 433      topic 242      
niemand         | weet            | topic 187      topic 404      topic 251      topic 297      
weet            | waar            | topic 242      topic 303      topic 187      topic 440      
waar            | </s>            | topic 303      topic 242      topic 187      topic 251      
<s>             | bij             | topic 303      topic 242      topic 251      topic 187      
bij             | analogie        | topic 251      topic 455      topic 50       topic 303      
analogie        | moet            | topic 251      topic 281      topic 455      topic 225      
moet            | vijf            | topic 303      topic 242      topic 251      topic 187      
vijf            | boven           | topic 164      topic 428      topic 245      topic 159      
boven           | par             | topic 225      topic 251      topic 455      topic 297      
par             | dan             | topic 50       topic 297      topic 251      topic 159      
dan             | een             | topic 251      topic 297      topic 433      topic 225      
een             | <UNK>           | topic 50       topic 297      topic 369      topic 267      
<UNK>           | <UNK>           | topic 297      topic 251      topic 225      topic 433      
<UNK>           | zijn            | topic 297      topic 251      topic 225      topic 433      
zijn            | </s>            | topic 297      topic 251      topic 225      topic 433      
<s>             | nooit           | topic 251      topic 303      topic 242      topic 433      
nooit           | tegengekomen    | topic 187      topic 404      topic 251      topic 176      
tegengekomen    | in              | topic 187      topic 242      topic 303      topic 251      
in              | de              | topic 455      topic 225      topic 281      topic 251      
de              | vakliteratuur   | topic 50       topic 369      topic 245      topic 159      
vakliteratuur   | </s>            | topic 297      topic 251      topic 225      topic 433      
<s>             | zes             | topic 303      topic 251      topic 242      topic 187      
zes             | zou             | topic 164      topic 428      topic 159      topic 245      
zou             | <UNK>           | topic 251      topic 187      topic 303      topic 242      
<UNK>           | kunnen          | topic 297      topic 251      topic 433      topic 303      
kunnen          | zijn            | topic 297      topic 440      topic 187      topic 281      
zijn            | al              | topic 297      topic 251      topic 433      topic 187      
al              | doet            | topic 251      topic 433      topic 440      topic 303      
doet            | dat             | topic 242      topic 303      topic 187      topic 251      
dat             | meer            | topic 303      topic 187      topic 440      topic 251      
meer            | denken          | topic 297      topic 251      topic 433      topic 440      
denken          | aan             | topic 297      topic 251      topic 433      topic 442      
aan             | een             | topic 251      topic 297      topic 455      topic 225      
een             | goedkope        | topic 50       topic 297      topic 369      topic 267      
goedkope        | gore            | topic 50       topic 297      topic 267      topic 159      
gore            | tent            | topic 297      topic 50       topic 251      topic 159      
tent            | in              | topic 297      topic 251      topic 225      topic 433      
in              | Soho            | topic 455      topic 50       topic 225      topic 281      
Soho            | </s>            | topic 297      topic 251      topic 159      topic 225      
<s>             | en              | topic 303      topic 251      topic 242      topic 187      
en              | dan             | topic 303      topic 242      topic 251      topic 187      
dan             | zijn            | topic 187      topic 303      topic 251      topic 440      
zijn            | we              | topic 187      topic 242      topic 251      topic 303      
we              | er              | topic 440      topic 433      topic 251      topic 303      
er              | </s>            | topic 440      topic 433      topic 251      topic 187      
<s>             | John            | topic 303      topic 242      topic 187      topic 251      
John            | <UNK>           | topic 50       topic 159      topic 251      topic 267      
<UNK>           | op              | topic 251      topic 50       topic 297      topic 81       
op              | de              | topic 428      topic 455      topic 225      topic 159      
de              | US              | topic 50       topic 159      topic 369      topic 428      
US              | Open            | topic 50       topic 358      topic 134      topic 203      
Open            | van             | topic 50       topic 159      topic 297      topic 251      
van             | dit             | topic 50       topic 455      topic 197      topic 203      
dit             | jaar            | topic 164      topic 214      topic 289      topic 389      
jaar            | </s>            | topic 297      topic 251      topic 225      topic 60       
<s>             | de              | topic 251      topic 303      topic 50       topic 455      
de              | achtste         | topic 50       topic 245      topic 369      topic 159      
achtste         | hole            | topic 245      topic 369      topic 444      topic 203      
hole            | op              | topic 251      topic 60       topic 369      topic 225      
op              | de              | topic 225      topic 455      topic 295      topic 369      
de              | baan            | topic 50       topic 245      topic 369      topic 203      
baan            | van             | topic 251      topic 297      topic 60       topic 225      
van             | <UNK>           | topic 455      topic 50       topic 251      topic 225      
<UNK>           | No              | topic 297      topic 251      topic 50       topic 159      
No              | </s>            | topic 251      topic 50       topic 297      topic 159      
<s>             | een             | topic 251      topic 50       topic 303      topic 225      
een             | par             | topic 50       topic 267      topic 297      topic 369      
par             | vier            | topic 50       topic 267      topic 251      topic 159      
vier            | komma           | topic 428      topic 164      topic 245      topic 159      
komma           | en              | topic 428      topic 60       topic 245      topic 164      
en              | niet            | topic 428      topic 251      topic 245      topic 225      
niet            | eens            | topic 251      topic 297      topic 433      topic 50       
eens            | een             | topic 251      topic 225      topic 297      topic 433      
een             | moeilijke       | topic 50       topic 369      topic 297      topic 267      
moeilijke       | </s>            | topic 50       topic 369      topic 444      topic 245      
<s>             | elf             | topic 251      topic 303      topic 242      topic 50       
elf             | slagen          | topic 428      topic 164      topic 245      topic 159      
slagen          | had             | topic 251      topic 60       topic 81       topic 297      
had             | hij             | topic 251      topic 303      topic 242      topic 187      
hij             | nodig           | topic 251      topic 433      topic 218      topic 369      
nodig           | </s>            | topic 251      topic 297      topic 433      topic 225      
<s>             | elf             | topic 251      topic 303      topic 242      topic 50       
elf             | </s>            | topic 428      topic 245      topic 164      topic 159      
<s>             | waaronder       | topic 251      topic 50       topic 303      topic 455      
waaronder       | twee            | topic 455      topic 225      topic 251      topic 50       
twee            | <UNK>           | topic 428      topic 164      topic 159      topic 245      
<UNK>           | omdat           | topic 159      topic 428      topic 60       topic 251      
omdat           | hij             | topic 251      topic 50       topic 225      topic 455      
hij             | van             | topic 251      topic 433      topic 369      topic 225      
van             | <UNK>           | topic 428      topic 455      topic 225      topic 251      
<UNK>           | op              | topic 251      topic 60       topic 297      topic 50       
op              | een             | topic 225      topic 455      topic 60       topic 295      
een             | <UNK>           | topic 50       topic 369      topic 245      topic 159      
<UNK>           | bal             | topic 251      topic 297      topic 369      topic 60       
bal             | had             | topic 297      topic 251      topic 433      topic 60       
had             | <UNK>           | topic 297      topic 251      topic 50       topic 225      
<UNK>           | </s>            | topic 297      topic 251      topic 225      topic 60       
<s>             | toen            | topic 251      topic 303      topic 50       topic 225      
toen            | hij             | topic 251      topic 50       topic 507      topic 187      
hij             | na              | topic 251      topic 369      topic 60       topic 218      
na              | zijn            | topic 60       topic 225      topic 455      topic 94       
zijn            | achtste         | topic 369      topic 50       topic 245      topic 203      
achtste         | shot            | topic 245      topic 369      topic 444      topic 50       
shot            | eindelijk       | topic 369      topic 60       topic 251      topic 225      
eindelijk       | op              | topic 251      topic 404      topic 369      topic 433      
op              | de              | topic 225      topic 507      topic 295      topic 60       
de              | green           | topic 50       topic 369      topic 245      topic 203      
green           | lag             | topic 50       topic 369      topic 267      topic 297      
lag             | waar            | topic 251      topic 297      topic 369      topic 225      
waar            | hij             | topic 303      topic 251      topic 242      topic 187      
hij             | met             | topic 433      topic 251      topic 369      topic 218      
met             | zijn            | topic 251      topic 225      topic 369      topic 50       
zijn            | tweede          | topic 50       topic 369      topic 245      topic 267      
tweede          | dwars           | topic 245      topic 369      topic 50       topic 444      
dwars           | doorheen        | topic 251      topic 297      topic 60       topic 369      
doorheen        | was             | topic 297      topic 251      topic 507      topic 225      
was             | <UNK>           | topic 297      topic 251      topic 433      topic 225      
