<s>             | dit             | topic 428      topic 159      topic 379      topic 362      
dit             | weekend         | topic 428      topic 187      topic 164      topic 75       
weekend         | wordt           | topic 428      topic 187      topic 164      topic 1        
wordt           | op              | topic 428      topic 362      topic 323      topic 187      
op              | <UNK>           | topic 428      topic 197      topic 164      topic 43       
<UNK>           | de              | topic 428      topic 323      topic 263      topic 362      
de              | British         | topic 428      topic 153      topic 148      topic 490      
British         | Open            | topic 468      topic 358      topic 240      topic 448      
Open            | gespeeld        | topic 468      topic 358      topic 197      topic 203      
gespeeld        | </s>            | topic 187      topic 225      topic 245      topic 428      
<s>             | en              | topic 202      topic 265      topic 159      topic 245      
en              | noteer          | topic 187      topic 176      topic 202      topic 242      
noteer          | voor            | topic 187      topic 242      topic 176      topic 73       
voor            | september       | topic 428      topic 202      topic 245      topic 59       
september       | alvast          | topic 428      topic 197      topic 187      topic 203      
alvast          | de              | topic 428      topic 187      topic 245      topic 265      
de              | Ryder           | topic 428      topic 43       topic 203      topic 468      
Ryder           | Cup             | topic 202      topic 245      topic 307      topic 358      
Cup             | </s>            | topic 245      topic 203      topic 197      topic 202      
<s>             | sport           | topic 265      topic 202      topic 245      topic 59       
sport           | </s>            | topic 245      topic 265      topic 197      topic 202      
<s>             | nooit           | topic 245      topic 265      topic 202      topic 59       
nooit           | geweten         | topic 265      topic 245      topic 203      topic 358      
geweten         | dat             | topic 265      topic 202      topic 187      topic 245      
dat             | het             | topic 265      topic 202      topic 59       topic 245      
het             | woord           | topic 265      topic 1        topic 245      topic 374      
woord           | bestond         | topic 1        topic 245      topic 265      topic 59       
bestond         | </s>            | topic 265      topic 1        topic 245      topic 59       
<s>             | dat             | topic 265      topic 59       topic 202      topic 245      
dat             | is              | topic 265      topic 202      topic 59       topic 245      
is              | één           | topic 265      topic 202      topic 245      topic 59       
één           | boven           | topic 164      topic 245      topic 428      topic 296      
boven           | par             | topic 428      topic 164      topic 245      topic 202      
par             | en              | topic 202      topic 245      topic 187      topic 197      
en              | voor            | topic 202      topic 245      topic 428      topic 197      
voor            | een             | topic 428      topic 245      topic 197      topic 202      
een             | professional    | topic 245      topic 428      topic 456      topic 444      
professional    | is              | topic 245      topic 202      topic 265      topic 187      
is              | dat             | topic 202      topic 245      topic 265      topic 428      
dat             | een             | topic 202      topic 265      topic 245      topic 59       
een             | zware           | topic 245      topic 428      topic 456      topic 203      
zware           | misser          | topic 490      topic 245      topic 153      topic 456      
misser          | </s>            | topic 187      topic 265      topic 245      topic 1        
<s>             | een             | topic 265      topic 202      topic 245      topic 59       
een             | double          | topic 245      topic 428      topic 444      topic 265      
double          | <UNK>           | topic 245      topic 458      topic 277      topic 444      
<UNK>           | ja              | topic 245      topic 202      topic 265      topic 187      
ja              | </s>            | topic 187      topic 242      topic 202      topic 265      
<s>             | twee            | topic 265      topic 202      topic 245      topic 59       
twee            | boven           | topic 428      topic 245      topic 164      topic 296      
boven           | paragraaf       | topic 428      topic 164      topic 245      topic 296      
paragraaf       | </s>            | topic 428      topic 245      topic 202      topic 187      
<s>             | courante        | topic 428      topic 245      topic 159      topic 202      
courante        | praktijk        | topic 428      topic 245      topic 164      topic 153      
praktijk        | voor            | topic 187      topic 428      topic 245      topic 242      
voor            | een             | topic 428      topic 245      topic 202      topic 265      
een             | amateur         | topic 245      topic 428      topic 444      topic 456      
amateur         | voor            | topic 245      topic 187      topic 289      topic 104      
voor            | een             | topic 428      topic 245      topic 203      topic 104      
een             | professional    | topic 428      topic 245      topic 86       topic 203      
professional    | een             | topic 245      topic 187      topic 289      topic 242      
een             | catastrofe      | topic 428      topic 245      topic 86       topic 104      
catastrofe      | </s>            | topic 187      topic 242      topic 440      topic 289      
<s>             | een             | topic 187      topic 242      topic 245      topic 73       
een             | triple          | topic 428      topic 245      topic 86       topic 488      
triple          | <UNK>           | topic 245      topic 86       topic 289      topic 1        
<UNK>           | daarvan         | topic 187      topic 245      topic 289      topic 1        
daarvan         | wordt           | topic 428      topic 187      topic 242      topic 289      
wordt           | een             | topic 428      topic 245      topic 289      topic 242      
een             | amateur         | topic 428      topic 245      topic 374      topic 86       
amateur         | zeer            | topic 289      topic 187      topic 245      topic 104      
zeer            | <UNK>           | topic 289      topic 104      topic 86       topic 374      
<UNK>           | een             | topic 187      topic 289      topic 251      topic 242      
een             | professional    | topic 428      topic 245      topic 86       topic 374      
professional    | die             | topic 289      topic 187      topic 242      topic 245      
die             | het             | topic 187      topic 242      topic 289      topic 440      
het             | overkomt        | topic 374      topic 330      topic 289      topic 304      
overkomt        | levert          | topic 187      topic 242      topic 440      topic 176      
levert          | zijn            | topic 242      topic 73       topic 104      topic 187      
zijn            | clubs           | topic 428      topic 86       topic 104      topic 245      
clubs           | in              | topic 1        topic 187      topic 440      topic 242      
in              | </s>            | topic 203      topic 1        topic 197      topic 428      
<s>             | met             | topic 187      topic 1        topic 242      topic 73       
met             | <UNK>           | topic 428      topic 73       topic 86       topic 1        
<UNK>           | boven           | topic 428      topic 1        topic 86       topic 245      
boven           | par             | topic 428      topic 164      topic 245      topic 296      
par             | zijn            | topic 428      topic 49       topic 461      topic 421      
zijn            | we              | topic 428      topic 86       topic 245      topic 187      
we              | bij             | topic 428      topic 187      topic 242      topic 440      
bij             | <UNK>           | topic 428      topic 49       topic 245      topic 242      
<UNK>           | </s>            | topic 428      topic 245      topic 187      topic 86       
<s>             | schijnt         | topic 428      topic 187      topic 242      topic 245      
schijnt         | één           | topic 187      topic 242      topic 440      topic 73       
één           | keer            | topic 428      topic 164      topic 296      topic 245      
keer            | per             | topic 428      topic 187      topic 245      topic 86       
per             | halve           | topic 428      topic 86       topic 245      topic 164      
halve           | eeuw            | topic 153      topic 245      topic 86       topic 472      
eeuw            | voor            | topic 187      topic 289      topic 1        topic 242      
voor            | te              | topic 428      topic 203      topic 245      topic 104      
te              | komen           | topic 203      topic 86       topic 374      topic 289      
komen           | in              | topic 187      topic 242      topic 289      topic 1        
in              | het             | topic 203      topic 428      topic 197      topic 1        
het             | professionele   | topic 330      topic 374      topic 1        topic 203      
professionele   | golf            | topic 1        topic 289      topic 104      topic 203      
golf            | maar            | topic 1        topic 203      topic 86       topic 153      
maar            | niemand         | topic 1        topic 203      topic 289      topic 86       
niemand         | weet            | topic 187      topic 242      topic 404      topic 205      
weet            | waar            | topic 242      topic 187      topic 49       topic 289      
waar            | </s>            | topic 242      topic 49       topic 187      topic 104      
<s>             | bij             | topic 245      topic 187      topic 49       topic 242      
bij             | analogie        | topic 245      topic 49       topic 202      topic 59       
analogie        | moet            | topic 203      topic 289      topic 1        topic 86       
moet            | vijf            | topic 245      topic 203      topic 104      topic 289      
vijf            | boven           | topic 164      topic 296      topic 428      topic 245      
boven           | par             | topic 428      topic 164      topic 245      topic 296      
par             | dan             | topic 428      topic 49       topic 461      topic 245      
dan             | een             | topic 428      topic 245      topic 187      topic 49       
een             | <UNK>           | topic 428      topic 245      topic 2        topic 86       
