<s>             | dit             | topic 297      topic 428      topic 134      topic 242      
dit             | weekend         | topic 103      topic 187      topic 164      topic 428      
weekend         | wordt           | topic 428      topic 187      topic 176      topic 242      
wordt           | op              | topic 428      topic 187      topic 362      topic 415      
op              | <UNK>           | topic 428      topic 43       topic 108      topic 197      
<UNK>           | de              | topic 428      topic 225      topic 263      topic 187      
de              | British         | topic 428      topic 43       topic 356      topic 86       
British         | Open            | topic 448      topic 468      topic 399      topic 225      
Open            | gespeeld        | topic 225      topic 455      topic 203      topic 60       
gespeeld        | </s>            | topic 60       topic 225      topic 442      topic 187      
<s>             | en              | topic 202      topic 393      topic 297      topic 234      
en              | noteer          | topic 398      topic 485      topic 507      topic 483      
noteer          | voor            | topic 242      topic 442      topic 485      topic 225      
voor            | september       | topic 428      topic 43       topic 234      topic 423      
september       | alvast          | topic 428      topic 225      topic 203      topic 380      
alvast          | de              | topic 428      topic 43       topic 225      topic 234      
de              | Ryder           | topic 43       topic 428      topic 86       topic 234      
Ryder           | Cup             | topic 225      topic 60       topic 203      topic 43       
Cup             | </s>            | topic 203      topic 225      topic 60       topic 428      
<s>             | sport           | topic 265      topic 245      topic 393      topic 202      
sport           | </s>            | topic 1        topic 428      topic 203      topic 289      
<s>             | nooit           | topic 297      topic 428      topic 245      topic 393      
nooit           | geweten         | topic 428      topic 187      topic 203      topic 73       
geweten         | dat             | topic 187      topic 242      topic 176      topic 404      
dat             | het             | topic 59       topic 265      topic 245      topic 393      
het             | woord           | topic 1        topic 203      topic 330      topic 456      
woord           | bestond         | topic 1        topic 187      topic 323      topic 59       
bestond         | </s>            | topic 187      topic 1        topic 242      topic 73       
<s>             | dat             | topic 187      topic 242      topic 176      topic 393      
dat             | is              | topic 187      topic 73       topic 242      topic 59       
is              | één           | topic 187      topic 1        topic 73       topic 86       
één           | boven           | topic 86       topic 490      topic 187      topic 296      
boven           | par             | topic 428      topic 187      topic 296      topic 242      
par             | en              | topic 428      topic 197      topic 323      topic 187      
en              | voor            | topic 187      topic 242      topic 428      topic 251      
voor            | een             | topic 428      topic 242      topic 73       topic 187      
een             | professional    | topic 428      topic 86       topic 2        topic 245      
professional    | is              | topic 187      topic 86       topic 251      topic 289      
is              | dat             | topic 187      topic 428      topic 242      topic 1        
dat             | een             | topic 187      topic 242      topic 73       topic 428      
een             | zware           | topic 86       topic 490      topic 2        topic 245      
zware           | misser          | topic 86       topic 2        topic 490      topic 245      
misser          | </s>            | topic 187      topic 242      topic 404      topic 440      
<s>             | een             | topic 187      topic 242      topic 176      topic 73       
een             | double          | topic 490      topic 444      topic 2        topic 86       
double          | <UNK>           | topic 187      topic 428      topic 1        topic 369      
<UNK>           | ja              | topic 187      topic 404      topic 487      topic 242      
