<s>             | dit             | topic 251      topic 303      topic 242      topic 442      
dit             | weekend         | topic 52       topic 164      topic 84       topic 433      
weekend         | wordt           | topic 84       topic 281      topic 81       topic 52       
wordt           | op              | topic 81       topic 251      topic 442      topic 433      
op              | <UNK>           | topic 457      topic 225      topic 428      topic 281      
<UNK>           | de              | topic 251      topic 225      topic 134      topic 297      
de              | British         | topic 159      topic 297      topic 50       topic 455      
British         | Open            | topic 297      topic 468      topic 159      topic 358      
Open            | gespeeld        | topic 159      topic 297      topic 457      topic 455      
gespeeld        | </s>            | topic 134      topic 251      topic 225      topic 218      
<s>             | en              | topic 251      topic 225      topic 442      topic 433      
en              | noteer          | topic 251      topic 303      topic 242      topic 442      
noteer          | voor            | topic 242      topic 303      topic 251      topic 84       
voor            | september       | topic 251      topic 225      topic 455      topic 297      
september       | alvast          | topic 134      topic 225      topic 218      topic 263      
alvast          | de              | topic 433      topic 251      topic 442      topic 225      
de              | Ryder           | topic 159      topic 297      topic 134      topic 455      
Ryder           | Cup             | topic 134      topic 297      topic 251      topic 433      
Cup             | </s>            | topic 134      topic 251      topic 225      topic 433      
<s>             | sport           | topic 251      topic 225      topic 433      topic 297      
sport           | </s>            | topic 251      topic 433      topic 281      topic 442      
<s>             | nooit           | topic 297      topic 251      topic 433      topic 225      
nooit           | geweten         | topic 440      topic 433      topic 81       topic 84       
geweten         | dat             | topic 134      topic 242      topic 303      topic 251      
dat             | het             | topic 251      topic 303      topic 187      topic 242      
het             | woord           | topic 84       topic 251      topic 433      topic 52       
woord           | bestond         | topic 251      topic 433      topic 134      topic 84       
bestond         | </s>            | topic 134      topic 251      topic 433      topic 225      
<s>             | dat             | topic 303      topic 251      topic 242      topic 187      
dat             | is              | topic 303      topic 187      topic 242      topic 251      
is              | één           | topic 440      topic 251      topic 242      topic 433      
één           | boven           | topic 164      topic 231      topic 134      topic 225      
boven           | par             | topic 251      topic 81       topic 94       topic 225      
par             | en              | topic 297      topic 267      topic 385      topic 134      
en              | voor            | topic 297      topic 251      topic 267      topic 50       
voor            | een             | topic 251      topic 455      topic 297      topic 303      
een             | professional    | topic 297      topic 50       topic 267      topic 159      
professional    | is              | topic 134      topic 251      topic 225      topic 433      
is              | dat             | topic 251      topic 134      topic 433      topic 440      
dat             | een             | topic 251      topic 303      topic 242      topic 433      
een             | zware           | topic 50       topic 297      topic 159      topic 267      
zware           | misser          | topic 297      topic 50       topic 159      topic 267      
misser          | </s>            | topic 134      topic 251      topic 94       topic 225      
<s>             | een             | topic 303      topic 251      topic 242      topic 433      
een             | double          | topic 297      topic 50       topic 159      topic 267      
double          | <UNK>           | topic 297      topic 267      topic 159      topic 50       
<UNK>           | ja              | topic 251      topic 134      topic 84       topic 433      
ja              | </s>            | topic 134      topic 251      topic 433      topic 242      
<s>             | twee            | topic 242      topic 303      topic 251      topic 187      
twee            | boven           | topic 164      topic 428      topic 297      topic 159      
boven           | paragraaf       | topic 251      topic 225      topic 81       topic 281      
paragraaf       | </s>            | topic 428      topic 134      topic 251      topic 297      
<s>             | courante        | topic 251      topic 297      topic 303      topic 225      
courante        | praktijk        | topic 297      topic 159      topic 267      topic 50       
praktijk        | voor            | topic 134      topic 251      topic 84       topic 433      
voor            | een             | topic 159      topic 134      topic 455      topic 297      
een             | amateur         | topic 159      topic 134      topic 297      topic 50       
amateur         | voor            | topic 134      topic 251      topic 225      topic 433      
voor            | een             | topic 455      topic 134      topic 251      topic 159      
een             | professional    | topic 159      topic 134      topic 297      topic 50       
professional    | een             | topic 134      topic 251      topic 225      topic 433      
een             | catastrofe      | topic 297      topic 159      topic 50       topic 134      
catastrofe      | </s>            | topic 134      topic 251      topic 94       topic 225      
<s>             | een             | topic 251      topic 303      topic 442      topic 433      
een             | triple          | topic 159      topic 297      topic 50       topic 251      
triple          | <UNK>           | topic 297      topic 159      topic 457      topic 251      
<UNK>           | daarvan         | topic 251      topic 134      topic 84       topic 225      
daarvan         | wordt           | topic 134      topic 84       topic 251      topic 281      
wordt           | een             | topic 251      topic 433      topic 442      topic 81       
een             | amateur         | topic 159      topic 50       topic 297      topic 267      
amateur         | zeer            | topic 134      topic 251      topic 225      topic 433      
zeer            | <UNK>           | topic 50       topic 440      topic 159      topic 134      
<UNK>           | een             | topic 134      topic 251      topic 457      topic 433      
een             | professional    | topic 297      topic 267      topic 50       topic 251      
professional    | die             | topic 251      topic 134      topic 433      topic 225      
die             | het             | topic 251      topic 433      topic 303      topic 225      
het             | overkomt        | topic 159      topic 251      topic 297      topic 433      
overkomt        | levert          | topic 134      topic 251      topic 433      topic 84       
levert          | zijn            | topic 251      topic 134      topic 433      topic 303      
zijn            | clubs           | topic 267      topic 50       topic 297      topic 251      
clubs           | in              | topic 433      topic 251      topic 84       topic 225      
in              | </s>            | topic 281      topic 134      topic 433      topic 225      
<s>             | met             | topic 251      topic 433      topic 303      topic 242      
met             | <UNK>           | topic 251      topic 225      topic 455      topic 433      
<UNK>           | boven           | topic 251      topic 267      topic 297      topic 433      
boven           | par             | topic 251      topic 281      topic 225      topic 297      
par             | zijn            | topic 297      topic 267      topic 385      topic 251      
zijn            | we              | topic 251      topic 297      topic 267      topic 433      
we              | bij             | topic 251      topic 52       topic 433      topic 281      
bij             | <UNK>           | topic 251      topic 225      topic 297      topic 455      
<UNK>           | </s>            | topic 251      topic 134      topic 267      topic 225      
<s>             | schijnt         | topic 251      topic 303      topic 242      topic 433      
schijnt         | één           | topic 242      topic 440      topic 303      topic 251      
één           | keer            | topic 164      topic 297      topic 159      topic 433      
keer            | per             | topic 81       topic 251      topic 433      topic 289      
per             | halve           | topic 289      topic 259      topic 164      topic 472      
halve           | eeuw            | topic 297      topic 133      topic 145      topic 159      
eeuw            | voor            | topic 134      topic 251      topic 84       topic 433      
voor            | te              | topic 251      topic 225      topic 303      topic 281      
te              | komen           | topic 281      topic 358      topic 188      topic 440      
komen           | in              | topic 134      topic 251      topic 225      topic 451      
in              | het             | topic 281      topic 455      topic 251      topic 225      
het             | professionele   | topic 159      topic 297      topic 50       topic 267      
professionele   | golf            | topic 297      topic 134      topic 267      topic 251      
golf            | maar            | topic 134      topic 251      topic 455      topic 225      
maar            | niemand         | topic 251      topic 303      topic 433      topic 84       
niemand         | weet            | topic 84       topic 433      topic 303      topic 187      
weet            | waar            | topic 242      topic 303      topic 440      topic 433      
waar            | </s>            | topic 242      topic 303      topic 251      topic 187      
<s>             | bij             | topic 242      topic 303      topic 251      topic 187      
bij             | analogie        | topic 251      topic 225      topic 303      topic 297      
analogie        | moet            | topic 251      topic 225      topic 81       topic 94       
moet            | vijf            | topic 303      topic 242      topic 251      topic 187      
vijf            | boven           | topic 164      topic 428      topic 159      topic 86       
boven           | par             | topic 281      topic 251      topic 81       topic 225      
par             | dan             | topic 297      topic 385      topic 267      topic 251      
dan             | een             | topic 251      topic 433      topic 297      topic 225      
een             | <UNK>           | topic 297      topic 267      topic 50       topic 159      
<UNK>           | <UNK>           | topic 134      topic 251      topic 225      topic 433      
<UNK>           | zijn            | topic 134      topic 251      topic 225      topic 281      
zijn            | </s>            | topic 134      topic 251      topic 225      topic 433      
<s>             | nooit           | topic 251      topic 303      topic 242      topic 433      
nooit           | tegengekomen    | topic 440      topic 84       topic 433      topic 81       
tegengekomen    | in              | topic 251      topic 134      topic 242      topic 303      
in              | de              | topic 455      topic 281      topic 225      topic 251      
de              | vakliteratuur   | topic 297      topic 159      topic 267      topic 134      
vakliteratuur   | </s>            | topic 134      topic 251      topic 225      topic 433      
<s>             | zes             | topic 251      topic 303      topic 242      topic 433      
zes             | zou             | topic 164      topic 428      topic 297      topic 159      
zou             | <UNK>           | topic 251      topic 242      topic 440      topic 442      
<UNK>           | kunnen          | topic 251      topic 433      topic 442      topic 134      
kunnen          | zijn            | topic 134      topic 281      topic 159      topic 251      
zijn            | al              | topic 134      topic 251      topic 433      topic 225      
al              | doet            | topic 81       topic 251      topic 225      topic 433      
doet            | dat             | topic 251      topic 303      topic 242      topic 440      
dat             | meer            | topic 251      topic 433      topic 303      topic 242      
meer            | denken          | topic 134      topic 433      topic 251      topic 440      
denken          | aan             | topic 134      topic 251      topic 451      topic 433      
aan             | een             | topic 251      topic 433      topic 134      topic 281      
een             | goedkope        | topic 297      topic 267      topic 159      topic 50       
goedkope        | gore            | topic 297      topic 159      topic 267      topic 385      
gore            | tent            | topic 297      topic 267      topic 134      topic 385      
tent            | in              | topic 134      topic 251      topic 225      topic 433      
in              | Soho            | topic 455      topic 225      topic 251      topic 281      
Soho            | </s>            | topic 134      topic 251      topic 433      topic 225      
<s>             | en              | topic 251      topic 303      topic 433      topic 225      
en              | dan             | topic 251      topic 242      topic 303      topic 433      
dan             | zijn            | topic 433      topic 84       topic 251      topic 187      
zijn            | we              | topic 251      topic 242      topic 303      topic 81       
we              | er              | topic 251      topic 433      topic 442      topic 440      
er              | </s>            | topic 440      topic 433      topic 251      topic 52       
<s>             | John            | topic 251      topic 242      topic 303      topic 433      
John            | <UNK>           | topic 297      topic 385      topic 267      topic 251      
<UNK>           | op              | topic 251      topic 134      topic 297      topic 267      
op              | de              | topic 457      topic 225      topic 134      topic 455      
de              | US              | topic 297      topic 159      topic 134      topic 202      
US              | Open            | topic 358      topic 297      topic 385      topic 159      
Open            | van             | topic 134      topic 297      topic 225      topic 251      
van             | dit             | topic 297      topic 455      topic 225      topic 159      
dit             | jaar            | topic 164      topic 214      topic 477      topic 52       
jaar            | </s>            | topic 134      topic 251      topic 225      topic 507      
<s>             | de              | topic 251      topic 303      topic 297      topic 242      
de              | achtste         | topic 297      topic 159      topic 50       topic 267      
achtste         | hole            | topic 245      topic 441      topic 203      topic 425      
hole            | op              | topic 225      topic 251      topic 433      topic 94       
op              | de              | topic 455      topic 225      topic 444      topic 457      
de              | baan            | topic 203      topic 297      topic 159      topic 245      
baan            | van             | topic 134      topic 225      topic 251      topic 60       
van             | <UNK>           | topic 455      topic 297      topic 225      topic 251      
<UNK>           | No              | topic 251      topic 134      topic 297      topic 267      
No              | </s>            | topic 297      topic 385      topic 267      topic 251      
<s>             | een             | topic 251      topic 297      topic 433      topic 225      
een             | par             | topic 297      topic 50       topic 159      topic 267      
par             | vier            | topic 297      topic 267      topic 385      topic 251      
vier            | komma           | topic 428      topic 297      topic 164      topic 251      
komma           | en              | topic 428      topic 164      topic 297      topic 251      
en              | niet            | topic 251      topic 428      topic 81       topic 225      
niet            | eens            | topic 433      topic 440      topic 297      topic 251      
eens            | een             | topic 251      topic 433      topic 297      topic 225      
een             | moeilijke       | topic 50       topic 297      topic 267      topic 251      
moeilijke       | </s>            | topic 297      topic 159      topic 50       topic 134      
<s>             | elf             | topic 251      topic 433      topic 303      topic 225      
elf             | slagen          | topic 428      topic 164      topic 297      topic 245      
slagen          | had             | topic 251      topic 134      topic 267      topic 281      
had             | hij             | topic 251      topic 442      topic 433      topic 218      
hij             | nodig           | topic 433      topic 251      topic 382      topic 442      
nodig           | </s>            | topic 134      topic 251      topic 281      topic 442      
