<s>             | dit             | topic 251      topic 303      topic 242      topic 159      
dit             | weekend         | topic 52       topic 84       topic 164      topic 281      
weekend         | wordt           | topic 81       topic 281      topic 84       topic 251      
wordt           | op              | topic 251      topic 81       topic 442      topic 225      
op              | <UNK>           | topic 428      topic 225      topic 457      topic 455      
<UNK>           | de              | topic 50       topic 225      topic 263      topic 251      
de              | British         | topic 134      topic 159      topic 297      topic 455      
British         | Open            | topic 134      topic 468      topic 159      topic 358      
Open            | gespeeld        | topic 134      topic 225      topic 50       topic 159      
gespeeld        | </s>            | topic 50       topic 251      topic 225      topic 218      
<s>             | en              | topic 251      topic 225      topic 159      topic 433      
en              | noteer          | topic 251      topic 303      topic 433      topic 242      
noteer          | voor            | topic 251      topic 242      topic 303      topic 442      
voor            | september       | topic 455      topic 251      topic 225      topic 281      
september       | alvast          | topic 50       topic 225      topic 455      topic 218      
alvast          | de              | topic 50       topic 281      topic 81       topic 433      
de              | Ryder           | topic 134      topic 159      topic 297      topic 290      
Ryder           | Cup             | topic 50       topic 159      topic 251      topic 455      
Cup             | </s>            | topic 50       topic 251      topic 225      topic 433      
<s>             | sport           | topic 251      topic 159      topic 225      topic 433      
sport           | </s>            | topic 251      topic 281      topic 50       topic 433      
<s>             | nooit           | topic 251      topic 159      topic 303      topic 455      
nooit           | geweten         | topic 81       topic 433      topic 281      topic 50       
geweten         | dat             | topic 50       topic 251      topic 242      topic 303      
dat             | het             | topic 251      topic 303      topic 242      topic 187      
het             | woord           | topic 251      topic 84       topic 433      topic 159      
woord           | bestond         | topic 251      topic 433      topic 50       topic 281      
bestond         | </s>            | topic 50       topic 251      topic 433      topic 281      
<s>             | dat             | topic 303      topic 251      topic 242      topic 187      
dat             | is              | topic 187      topic 303      topic 242      topic 251      
is              | één           | topic 440      topic 251      topic 303      topic 433      
één           | boven           | topic 164      topic 50       topic 263      topic 225      
boven           | par             | topic 225      topic 94       topic 455      topic 251      
par             | en              | topic 159      topic 50       topic 267      topic 251      
en              | voor            | topic 159      topic 267      topic 251      topic 297      
voor            | een             | topic 251      topic 159      topic 455      topic 225      
een             | professional    | topic 159      topic 297      topic 267      topic 134      
professional    | is              | topic 50       topic 251      topic 225      topic 433      
is              | dat             | topic 251      topic 50       topic 303      topic 440      
dat             | een             | topic 303      topic 251      topic 242      topic 187      
een             | zware           | topic 297      topic 50       topic 159      topic 267      
zware           | misser          | topic 297      topic 159      topic 50       topic 134      
misser          | </s>            | topic 50       topic 251      topic 225      topic 433      
<s>             | een             | topic 303      topic 251      topic 242      topic 187      
een             | double          | topic 297      topic 159      topic 251      topic 267      
double          | <UNK>           | topic 159      topic 297      topic 267      topic 251      
<UNK>           | ja              | topic 251      topic 50       topic 84       topic 433      
ja              | </s>            | topic 50       topic 303      topic 242      topic 251      
<s>             | twee            | topic 303      topic 242      topic 187      topic 251      
twee            | boven           | topic 164      topic 428      topic 159      topic 86       
boven           | paragraaf       | topic 225      topic 455      topic 251      topic 263      
paragraaf       | </s>            | topic 428      topic 50       topic 251      topic 60       
<s>             | courante        | topic 303      topic 251      topic 159      topic 242      
courante        | praktijk        | topic 159      topic 134      topic 267      topic 50       
praktijk        | voor            | topic 50       topic 281      topic 84       topic 251      
voor            | een             | topic 455      topic 50       topic 281      topic 251      
een             | amateur         | topic 134      topic 297      topic 159      topic 50       
amateur         | voor            | topic 50       topic 251      topic 225      topic 433      
voor            | een             | topic 455      topic 251      topic 50       topic 225      
een             | professional    | topic 297      topic 159      topic 134      topic 267      
professional    | een             | topic 50       topic 251      topic 225      topic 433      
een             | catastrofe      | topic 297      topic 159      topic 134      topic 267      
catastrofe      | </s>            | topic 50       topic 251      topic 433      topic 225      
<s>             | een             | topic 251      topic 303      topic 242      topic 433      
een             | triple          | topic 297      topic 159      topic 134      topic 251      
triple          | <UNK>           | topic 159      topic 297      topic 134      topic 267      
<UNK>           | daarvan         | topic 251      topic 50       topic 84       topic 281      
daarvan         | wordt           | topic 50       topic 84       topic 281      topic 81       
wordt           | een             | topic 433      topic 251      topic 81       topic 225      
een             | amateur         | topic 297      topic 159      topic 134      topic 267      
amateur         | zeer            | topic 50       topic 251      topic 225      topic 281      
zeer            | <UNK>           | topic 297      topic 50       topic 440      topic 433      
<UNK>           | een             | topic 50       topic 251      topic 433      topic 281      
een             | professional    | topic 297      topic 159      topic 267      topic 251      
professional    | die             | topic 50       topic 251      topic 433      topic 225      
die             | het             | topic 251      topic 433      topic 303      topic 225      
het             | overkomt        | topic 297      topic 251      topic 433      topic 159      
overkomt        | levert          | topic 50       topic 251      topic 433      topic 281      
levert          | zijn            | topic 251      topic 50       topic 303      topic 433      
zijn            | clubs           | topic 297      topic 159      topic 267      topic 231      
clubs           | in              | topic 433      topic 251      topic 50       topic 225      
in              | </s>            | topic 281      topic 50       topic 455      topic 483      
<s>             | met             | topic 303      topic 251      topic 242      topic 433      
met             | <UNK>           | topic 251      topic 225      topic 433      topic 281      
<UNK>           | boven           | topic 251      topic 267      topic 159      topic 433      
boven           | par             | topic 251      topic 455      topic 225      topic 281      
par             | zijn            | topic 159      topic 267      topic 251      topic 385      
zijn            | we              | topic 251      topic 159      topic 225      topic 433      
we              | bij             | topic 251      topic 433      topic 281      topic 52       
bij             | <UNK>           | topic 251      topic 455      topic 225      topic 159      
<UNK>           | </s>            | topic 50       topic 251      topic 433      topic 159      
<s>             | schijnt         | topic 251      topic 303      topic 242      topic 433      
schijnt         | één           | topic 242      topic 303      topic 251      topic 187      
één           | keer            | topic 164      topic 159      topic 231      topic 297      
keer            | per             | topic 251      topic 433      topic 50       topic 84       
per             | halve           | topic 289      topic 236      topic 158      topic 164      
halve           | eeuw            | topic 245      topic 133      topic 297      topic 134      
eeuw            | voor            | topic 50       topic 251      topic 433      topic 225      
voor            | te              | topic 251      topic 225      topic 455      topic 50       
te              | komen           | topic 358      topic 281      topic 422      topic 188      
komen           | in              | topic 50       topic 251      topic 433      topic 225      
in              | het             | topic 455      topic 281      topic 225      topic 251      
het             | professionele   | topic 159      topic 297      topic 134      topic 267      
professionele   | golf            | topic 50       topic 159      topic 267      topic 297      
golf            | maar            | topic 50       topic 225      topic 251      topic 94       
maar            | niemand         | topic 303      topic 251      topic 242      topic 433      
niemand         | weet            | topic 433      topic 84       topic 187      topic 281      
weet            | waar            | topic 242      topic 303      topic 187      topic 440      
waar            | </s>            | topic 303      topic 242      topic 187      topic 251      
<s>             | bij             | topic 303      topic 242      topic 251      topic 187      
bij             | analogie        | topic 251      topic 303      topic 455      topic 225      
analogie        | moet            | topic 251      topic 225      topic 442      topic 94       
moet            | vijf            | topic 242      topic 303      topic 187      topic 251      
vijf            | boven           | topic 164      topic 428      topic 86       topic 159      
boven           | par             | topic 225      topic 455      topic 251      topic 281      
par             | dan             | topic 159      topic 267      topic 251      topic 50       
dan             | een             | topic 251      topic 433      topic 303      topic 225      
een             | <UNK>           | topic 297      topic 159      topic 267      topic 295      
<UNK>           | <UNK>           | topic 50       topic 251      topic 225      topic 297      
<UNK>           | zijn            | topic 50       topic 251      topic 225      topic 281      
zijn            | </s>            | topic 50       topic 251      topic 225      topic 433      
<s>             | nooit           | topic 303      topic 251      topic 242      topic 433      
nooit           | tegengekomen    | topic 440      topic 433      topic 251      topic 187      
tegengekomen    | in              | topic 251      topic 50       topic 303      topic 242      
in              | de              | topic 455      topic 281      topic 251      topic 225      
de              | vakliteratuur   | topic 159      topic 134      topic 297      topic 369      
vakliteratuur   | </s>            | topic 50       topic 251      topic 225      topic 433      
<s>             | zes             | topic 303      topic 251      topic 242      topic 187      
zes             | zou             | topic 428      topic 164      topic 159      topic 86       
zou             | <UNK>           | topic 251      topic 303      topic 242      topic 187      
<UNK>           | kunnen          | topic 251      topic 50       topic 433      topic 225      
kunnen          | zijn            | topic 297      topic 281      topic 50       topic 251      
zijn            | al              | topic 50       topic 251      topic 225      topic 433      
al              | doet            | topic 81       topic 251      topic 84       topic 440      
doet            | dat             | topic 251      topic 303      topic 242      topic 187      
dat             | meer            | topic 251      topic 303      topic 242      topic 187      
meer            | denken          | topic 50       topic 433      topic 251      topic 440      
denken          | aan             | topic 50       topic 251      topic 433      topic 242      
aan             | een             | topic 251      topic 455      topic 225      topic 281      
een             | goedkope        | topic 297      topic 159      topic 267      topic 251      
goedkope        | gore            | topic 297      topic 159      topic 50       topic 267      
gore            | tent            | topic 159      topic 50       topic 297      topic 267      
tent            | in              | topic 50       topic 251      topic 225      topic 433      
in              | Soho            | topic 455      topic 225      topic 251      topic 281      
Soho            | </s>            | topic 50       topic 251      topic 225      topic 433      
<s>             | en              | topic 251      topic 303      topic 242      topic 433      
