<s>             | dit             | topic 428      topic 134      topic 50       topic 187      
dit             | weekend         | topic 187      topic 103      topic 84       topic 440      
weekend         | wordt           | topic 428      topic 187      topic 1        topic 281      
wordt           | op              | topic 428      topic 187      topic 362      topic 242      
op              | <UNK>           | topic 428      topic 164      topic 43       topic 225      
<UNK>           | de              | topic 428      topic 225      topic 251      topic 263      
de              | British         | topic 428      topic 43       topic 356      topic 148      
British         | Open            | topic 468      topic 240      topic 335      topic 339      
Open            | gespeeld        | topic 468      topic 70       topic 37       topic 274      
gespeeld        | </s>            | topic 225      topic 303      topic 187      topic 84       
<s>             | en              | topic 428      topic 468      topic 187      topic 134      
en              | noteer          | topic 187      topic 242      topic 52       topic 303      
noteer          | voor            | topic 187      topic 176      topic 242      topic 84       
voor            | september       | topic 468      topic 428      topic 134      topic 423      
september       | alvast          | topic 428      topic 263      topic 306      topic 392      
alvast          | de              | topic 428      topic 225      topic 52       topic 164      
de              | Ryder           | topic 428      topic 43       topic 468      topic 148      
Ryder           | Cup             | topic 307      topic 376      topic 5        topic 65       
Cup             | </s>            | topic 203      topic 507      topic 245      topic 369      
<s>             | sport           | topic 245      topic 202      topic 265      topic 49       
sport           | </s>            | topic 428      topic 203      topic 197      topic 483      
<s>             | nooit           | topic 428      topic 134      topic 245      topic 50       
nooit           | geweten         | topic 205      topic 187      topic 86       topic 245      
geweten         | dat             | topic 187      topic 242      topic 176      topic 303      
dat             | het             | topic 73       topic 187      topic 245      topic 242      
het             | woord           | topic 1        topic 187      topic 289      topic 440      
woord           | bestond         | topic 86       topic 1        topic 245      topic 43       
bestond         | </s>            | topic 187      topic 404      topic 176      topic 242      
<s>             | dat             | topic 187      topic 242      topic 176      topic 265      
dat             | is              | topic 187      topic 242      topic 73       topic 245      
is              | één           | topic 187      topic 242      topic 428      topic 245      
één           | boven           | topic 164      topic 428      topic 245      topic 277      
boven           | par             | topic 428      topic 164      topic 49       topic 197      
par             | en              | topic 428      topic 49       topic 245      topic 86       
en              | voor            | topic 428      topic 49       topic 242      topic 507      
voor            | een             | topic 428      topic 245      topic 242      topic 507      
een             | professional    | topic 428      topic 245      topic 456      topic 86       
professional    | is              | topic 187      topic 507      topic 440      topic 1        
is              | dat             | topic 428      topic 187      topic 242      topic 245      
dat             | een             | topic 428      topic 242      topic 187      topic 245      
een             | zware           | topic 428      topic 245      topic 2        topic 86       
zware           | misser          | topic 86       topic 153      topic 470      topic 245      
misser          | </s>            | topic 187      topic 404      topic 507      topic 440      
<s>             | een             | topic 187      topic 242      topic 245      topic 176      
een             | double          | topic 428      topic 245      topic 2        topic 86       
double          | <UNK>           | topic 86       topic 245      topic 202      topic 91       
<UNK>           | ja              | topic 187      topic 245      topic 428      topic 507      
ja              | </s>            | topic 187      topic 242      topic 303      topic 440      
<s>             | twee            | topic 187      topic 242      topic 176      topic 202      
twee            | boven           | topic 428      topic 164      topic 245      topic 267      
boven           | paragraaf       | topic 428      topic 164      topic 49       topic 245      
paragraaf       | </s>            | topic 428      topic 164      topic 404      topic 507      
<s>             | courante        | topic 202      topic 245      topic 242      topic 187      
courante        | praktijk        | topic 164      topic 428      topic 369      topic 289      
praktijk        | voor            | topic 187      topic 242      topic 176      topic 428      
voor            | een             | topic 49       topic 428      topic 245      topic 202      
een             | amateur         | topic 428      topic 245      topic 444      topic 470      
amateur         | voor            | topic 187      topic 440      topic 404      topic 289      
voor            | een             | topic 428      topic 245      topic 202      topic 49       
een             | professional    | topic 428      topic 245      topic 470      topic 444      
professional    | een             | topic 187      topic 440      topic 303      topic 507      
een             | catastrofe      | topic 428      topic 470      topic 444      topic 347      
catastrofe      | </s>            | topic 187      topic 507      topic 303      topic 203      
