<s>             | dit             | topic 428      topic 134      topic 297      topic 187      
dit             | weekend         | topic 428      topic 187      topic 440      topic 242      
weekend         | wordt           | topic 428      topic 187      topic 225      topic 507      
wordt           | op              | topic 428      topic 187      topic 251      topic 242      
op              | <UNK>           | topic 428      topic 164      topic 225      topic 251      
<UNK>           | de              | topic 428      topic 126      topic 251      topic 225      
de              | British         | topic 428      topic 43       topic 148      topic 86       
British         | Open            | topic 468      topic 240      topic 244      topic 339      
Open            | gespeeld        | topic 468      topic 202      topic 240      topic 49       
gespeeld        | </s>            | topic 428      topic 218      topic 60       topic 187      
<s>             | en              | topic 428      topic 49       topic 297      topic 134      
en              | noteer          | topic 242      topic 187      topic 303      topic 485      
noteer          | voor            | topic 187      topic 176      topic 242      topic 507      
voor            | september       | topic 49       topic 428      topic 297      topic 242      
september       | alvast          | topic 428      topic 203      topic 263      topic 60       
alvast          | de              | topic 428      topic 164      topic 60       topic 263      
de              | Ryder           | topic 428      topic 164      topic 148      topic 167      
Ryder           | Cup             | topic 307      topic 373      topic 29       topic 354      
Cup             | </s>            | topic 265      topic 203      topic 245      topic 202      
<s>             | sport           | topic 49       topic 202      topic 265      topic 245      
sport           | </s>            | topic 428      topic 242      topic 49       topic 433      
<s>             | nooit           | topic 428      topic 49       topic 134      topic 297      
nooit           | geweten         | topic 187      topic 242      topic 404      topic 205      
geweten         | dat             | topic 187      topic 242      topic 176      topic 440      
dat             | het             | topic 242      topic 187      topic 49       topic 176      
het             | woord           | topic 205      topic 440      topic 187      topic 433      
woord           | bestond         | topic 18       topic 267      topic 423      topic 349      
bestond         | </s>            | topic 187      topic 242      topic 176      topic 404      
<s>             | dat             | topic 187      topic 242      topic 49       topic 428      
dat             | is              | topic 187      topic 242      topic 49       topic 176      
is              | één           | topic 187      topic 242      topic 428      topic 440      
één           | boven           | topic 164      topic 428      topic 296      topic 245      
boven           | par             | topic 428      topic 164      topic 296      topic 245      
par             | en              | topic 245      topic 428      topic 164      topic 444      
en              | voor            | topic 428      topic 245      topic 421      topic 49       
voor            | een             | topic 428      topic 245      topic 49       topic 202      
een             | professional    | topic 428      topic 164      topic 245      topic 369      
professional    | is              | topic 187      topic 267      topic 1        topic 433      
is              | dat             | topic 187      topic 242      topic 428      topic 440      
dat             | een             | topic 242      topic 187      topic 428      topic 49       
een             | zware           | topic 428      topic 164      topic 347      topic 245      
zware           | misser          | topic 470      topic 153      topic 148      topic 245      
misser          | </s>            | topic 187      topic 404      topic 440      topic 84       
<s>             | een             | topic 187      topic 242      topic 428      topic 202      
een             | double          | topic 428      topic 164      topic 347      topic 470      
double          | <UNK>           | topic 65       topic 303      topic 18       topic 349      
<UNK>           | ja              | topic 428      topic 187      topic 251      topic 242      
ja              | </s>            | topic 187      topic 242      topic 440      topic 303      
<s>             | twee            | topic 187      topic 242      topic 303      topic 176      
twee            | boven           | topic 164      topic 296      topic 428      topic 245      
boven           | paragraaf       | topic 428      topic 164      topic 225      topic 296      
paragraaf       | </s>            | topic 428      topic 164      topic 225      topic 251      
<s>             | courante        | topic 428      topic 187      topic 242      topic 303      
courante        | praktijk        | topic 164      topic 428      topic 296      topic 313      
praktijk        | voor            | topic 187      topic 440      topic 428      topic 242      
voor            | een             | topic 428      topic 49       topic 297      topic 245      
een             | amateur         | topic 428      topic 164      topic 347      topic 470      
amateur         | voor            | topic 187      topic 404      topic 251      topic 440      
voor            | een             | topic 428      topic 245      topic 297      topic 289      
een             | professional    | topic 428      topic 164      topic 347      topic 470      
professional    | een             | topic 187      topic 440      topic 251      topic 126      
een             | catastrofe      | topic 428      topic 164      topic 347      topic 470      
catastrofe      | </s>            | topic 187      topic 251      topic 404      topic 507      
<s>             | een             | topic 428      topic 187      topic 242      topic 507      
een             | triple          | topic 428      topic 164      topic 347      topic 231      
triple          | <UNK>           | topic 470      topic 126      topic 494      topic 497      
<UNK>           | daarvan         | topic 428      topic 126      topic 251      topic 187      
daarvan         | wordt           | topic 428      topic 164      topic 187      topic 225      
wordt           | een             | topic 428      topic 187      topic 251      topic 440      
een             | amateur         | topic 428      topic 164      topic 347      topic 472      
amateur         | zeer            | topic 428      topic 251      topic 84       topic 187      
zeer            | <UNK>           | topic 440      topic 126      topic 304      topic 243      
<UNK>           | een             | topic 126      topic 251      topic 440      topic 304      
een             | professional    | topic 428      topic 126      topic 470      topic 164      
professional    | die             | topic 126      topic 251      topic 440      topic 304      
die             | het             | topic 126      topic 428      topic 251      topic 440      
het             | overkomt        | topic 304      topic 126      topic 440      topic 243      
overkomt        | levert          | topic 187      topic 242      topic 303      topic 440      
levert          | zijn            | topic 428      topic 187      topic 440      topic 242      
zijn            | clubs           | topic 428      topic 126      topic 251      topic 18       
clubs           | in              | topic 203      topic 428      topic 1        topic 187      
in              | </s>            | topic 428      topic 203      topic 129      topic 306      
<s>             | met             | topic 428      topic 187      topic 242      topic 303      
met             | <UNK>           | topic 428      topic 245      topic 129      topic 187      
<UNK>           | boven           | topic 428      topic 385      topic 126      topic 251      
boven           | par             | topic 428      topic 164      topic 433      topic 251      
par             | zijn            | topic 428      topic 385      topic 245      topic 126      
zijn            | we              | topic 428      topic 126      topic 470      topic 245      
we              | bij             | topic 428      topic 251      topic 187      topic 440      
bij             | <UNK>           | topic 428      topic 297      topic 134      topic 385      
<UNK>           | </s>            | topic 385      topic 126      topic 428      topic 251      
<s>             | schijnt         | topic 428      topic 297      topic 187      topic 134      
schijnt         | één           | topic 187      topic 440      topic 242      topic 251      
